date,valore
2020-02-21T00:00:00,1
2020-02-22T00:00:00,1
2020-02-23T00:00:00,1
2020-02-24T00:00:00,1
2020-02-25T00:00:00,5
2020-02-26T00:00:00,1
2020-02-27T00:00:00,3
2020-02-28T00:00:00,3
2020-02-29T00:00:00,7
2020-03-01T00:00:00,12
2020-03-02T00:00:00,7
2020-03-03T00:00:00,26
2020-03-04T00:00:00,21
2020-03-05T00:00:00,34
2020-03-06T00:00:00,48
2020-03-07T00:00:00,67
2020-03-08T00:00:00,79
2020-03-09T00:00:00,104
2020-03-10T00:00:00,125
2020-03-11T00:00:00,153
2020-03-12T00:00:00,150
2020-03-13T00:00:00,176
2020-03-14T00:00:00,209
2020-03-15T00:00:00,213
2020-03-16T00:00:00,259
2020-03-17T00:00:00,284
2020-03-18T00:00:00,321
2020-03-19T00:00:00,339
2020-03-20T00:00:00,355
2020-03-21T00:00:00,424
2020-03-22T00:00:00,400
2020-03-23T00:00:00,447
2020-03-24T00:00:00,425
2020-03-25T00:00:00,463
2020-03-26T00:00:00,430
2020-03-27T00:00:00,415
2020-03-28T00:00:00,449
2020-03-29T00:00:00,362
2020-03-30T00:00:00,351
2020-03-31T00:00:00,331
2020-04-01T00:00:00,317
2020-04-02T00:00:00,297
2020-04-03T00:00:00,318
2020-04-04T00:00:00,254
2020-04-05T00:00:00,248
2020-04-06T00:00:00,251
2020-04-07T00:00:00,216
2020-04-08T00:00:00,241
2020-04-09T00:00:00,213
2020-04-10T00:00:00,220
2020-04-11T00:00:00,198
2020-04-12T00:00:00,188
2020-04-13T00:00:00,180
2020-04-14T00:00:00,192
2020-04-15T00:00:00,181
2020-04-16T00:00:00,157
2020-04-17T00:00:00,175
2020-04-18T00:00:00,163
2020-04-19T00:00:00,148
2020-04-20T00:00:00,156
2020-04-21T00:00:00,125
2020-04-22T00:00:00,120
2020-04-23T00:00:00,109
2020-04-24T00:00:00,124
2020-04-25T00:00:00,103
2020-04-26T00:00:00,99
2020-04-27T00:00:00,101
2020-04-28T00:00:00,103
2020-04-29T00:00:00,96
2020-04-30T00:00:00,74
2020-05-01T00:00:00,77
2020-05-02T00:00:00,75
2020-05-03T00:00:00,63
2020-05-04T00:00:00,69
2020-05-05T00:00:00,65
2020-05-06T00:00:00,72
2020-05-07T00:00:00,52
2020-05-08T00:00:00,66
2020-05-09T00:00:00,66
2020-05-10T00:00:00,59
2020-05-11T00:00:00,57
2020-05-12T00:00:00,45
2020-05-13T00:00:00,42
2020-05-14T00:00:00,45
2020-05-15T00:00:00,41
2020-05-16T00:00:00,18
2020-05-17T00:00:00,29
2020-05-18T00:00:00,21
2020-05-19T00:00:00,28
2020-05-20T00:00:00,20
2020-05-21T00:00:00,20
2020-05-22T00:00:00,25
2020-05-23T00:00:00,27
2020-05-24T00:00:00,26
2020-05-25T00:00:00,21
2020-05-26T00:00:00,23
2020-05-27T00:00:00,17
2020-05-28T00:00:00,22
2020-05-29T00:00:00,16
2020-05-30T00:00:00,18
2020-05-31T00:00:00,18
2020-06-01T00:00:00,22
2020-06-02T00:00:00,7
2020-06-03T00:00:00,15
2020-06-04T00:00:00,17
2020-06-05T00:00:00,24
2020-06-06T00:00:00,19
2020-06-07T00:00:00,11
2020-06-08T00:00:00,16
2020-06-09T00:00:00,9
2020-06-10T00:00:00,11
2020-06-11T00:00:00,14
2020-06-12T00:00:00,11
2020-06-13T00:00:00,8
2020-06-14T00:00:00,12
2020-06-15T00:00:00,12
2020-06-16T00:00:00,11
2020-06-17T00:00:00,9
2020-06-18T00:00:00,14
2020-06-19T00:00:00,5
2020-06-20T00:00:00,3
2020-06-21T00:00:00,2
2020-06-22T00:00:00,6
2020-06-23T00:00:00,10
2020-06-24T00:00:00,8
2020-06-25T00:00:00,5
2020-06-26T00:00:00,6
2020-06-27T00:00:00,5
2020-06-28T00:00:00,4
2020-06-29T00:00:00,7
2020-06-30T00:00:00,1
2020-07-01T00:00:00,5
2020-07-02T00:00:00,2
2020-07-03T00:00:00,2
2020-07-04T00:00:00,3
2020-07-05T00:00:00,3
2020-07-06T00:00:00,6
2020-07-07T00:00:00,1
2020-07-08T00:00:00,3
2020-07-09T00:00:00,4
2020-07-10T00:00:00,2
2020-07-11T00:00:00,2
2020-07-12T00:00:00,3
2020-07-13T00:00:00,5
2020-07-14T00:00:00,2
2020-07-15T00:00:00,4
2020-07-16T00:00:00,10
