data,regione,classe_numero_casi
20-02-22,Piemonte,1-10
20-02-23,Piemonte,1-10
20-02-24,Piemonte,1-10
20-02-25,Piemonte,1-10
20-02-26,Piemonte,1-10
20-02-29,Piemonte,1-10
20-03-01,Piemonte,1-10
20-06-07,Piemonte,1-10
20-06-14,Piemonte,1-10
20-06-21,Piemonte,1-10
20-06-22,Piemonte,1-10
20-06-28,Piemonte,1-10
20-06-29,Piemonte,1-10
20-07-05,Piemonte,1-10
20-07-06,Piemonte,1-10
20-07-08,Piemonte,1-10
20-03-04,Valle Aosta,1-10
20-03-05,Valle Aosta,1-10
20-03-06,Valle Aosta,1-10
20-03-07,Valle Aosta,1-10
20-03-08,Valle Aosta,1-10
20-03-09,Valle Aosta,1-10
20-03-10,Valle Aosta,1-10
20-03-11,Valle Aosta,1-10
20-03-24,Valle Aosta,1-10
20-04-05,Valle Aosta,1-10
20-04-11,Valle Aosta,1-10
20-04-12,Valle Aosta,1-10
20-04-13,Valle Aosta,1-10
20-04-14,Valle Aosta,1-10
20-04-19,Valle Aosta,1-10
20-04-20,Valle Aosta,1-10
20-04-21,Valle Aosta,1-10
20-04-22,Valle Aosta,1-10
20-04-23,Valle Aosta,1-10
20-04-24,Valle Aosta,1-10
20-04-25,Valle Aosta,1-10
20-04-26,Valle Aosta,1-10
20-04-27,Valle Aosta,1-10
20-04-28,Valle Aosta,1-10
20-04-29,Valle Aosta,1-10
20-04-30,Valle Aosta,1-10
20-05-01,Valle Aosta,1-10
20-05-02,Valle Aosta,1-10
20-05-03,Valle Aosta,1-10
20-05-04,Valle Aosta,1-10
20-05-05,Valle Aosta,1-10
20-05-07,Valle Aosta,1-10
20-05-08,Valle Aosta,1-10
20-05-09,Valle Aosta,1-10
20-05-10,Valle Aosta,1-10
20-05-11,Valle Aosta,1-10
20-05-12,Valle Aosta,1-10
20-05-13,Valle Aosta,1-10
20-05-15,Valle Aosta,1-10
20-05-19,Valle Aosta,1-10
20-05-20,Valle Aosta,1-10
20-05-21,Valle Aosta,1-10
20-05-22,Valle Aosta,1-10
20-05-23,Valle Aosta,1-10
20-05-24,Valle Aosta,1-10
20-05-28,Valle Aosta,1-10
20-05-29,Valle Aosta,1-10
20-05-30,Valle Aosta,1-10
20-06-04,Valle Aosta,1-10
20-06-05,Valle Aosta,1-10
20-06-06,Valle Aosta,1-10
20-06-12,Valle Aosta,1-10
20-06-19,Valle Aosta,1-10
20-06-29,Valle Aosta,1-10
20-07-02,Valle Aosta,1-10
20-02-20,Lombardia,1-10
20-02-24,PA Bolzano,1-10
20-03-05,PA Bolzano,1-10
20-03-06,PA Bolzano,1-10
20-03-08,PA Bolzano,1-10
20-04-12,PA Bolzano,1-10
20-04-19,PA Bolzano,1-10
20-04-20,PA Bolzano,1-10
20-04-24,PA Bolzano,1-10
20-04-25,PA Bolzano,1-10
20-04-26,PA Bolzano,1-10
20-04-29,PA Bolzano,1-10
20-04-30,PA Bolzano,1-10
20-05-01,PA Bolzano,1-10
20-05-02,PA Bolzano,1-10
20-05-03,PA Bolzano,1-10
20-05-04,PA Bolzano,1-10
20-05-05,PA Bolzano,1-10
20-05-06,PA Bolzano,1-10
20-05-07,PA Bolzano,1-10
20-05-08,PA Bolzano,1-10
20-05-09,PA Bolzano,1-10
20-05-10,PA Bolzano,1-10
20-05-11,PA Bolzano,1-10
20-05-12,PA Bolzano,1-10
20-05-13,PA Bolzano,1-10
20-05-15,PA Bolzano,1-10
20-05-16,PA Bolzano,1-10
20-05-17,PA Bolzano,1-10
20-05-20,PA Bolzano,1-10
20-05-21,PA Bolzano,1-10
20-05-22,PA Bolzano,1-10
20-05-23,PA Bolzano,1-10
20-05-25,PA Bolzano,1-10
20-05-26,PA Bolzano,1-10
20-05-28,PA Bolzano,1-10
20-05-30,PA Bolzano,1-10
20-06-03,PA Bolzano,1-10
20-06-04,PA Bolzano,1-10
20-06-05,PA Bolzano,1-10
20-06-09,PA Bolzano,1-10
20-06-10,PA Bolzano,1-10
20-06-11,PA Bolzano,1-10
20-06-12,PA Bolzano,1-10
20-06-16,PA Bolzano,1-10
20-06-17,PA Bolzano,1-10
20-06-18,PA Bolzano,1-10
20-06-19,PA Bolzano,1-10
20-06-22,PA Bolzano,1-10
20-06-26,PA Bolzano,1-10
20-06-27,PA Bolzano,1-10
20-06-29,PA Bolzano,1-10
20-07-01,PA Bolzano,1-10
20-07-02,PA Bolzano,1-10
20-07-03,PA Bolzano,1-10
20-07-06,PA Bolzano,1-10
20-03-02,PA Trento,1-10
20-03-03,PA Trento,1-10
20-03-04,PA Trento,1-10
20-03-05,PA Trento,1-10
20-03-06,PA Trento,1-10
20-03-07,PA Trento,1-10
20-04-12,PA Trento,1-10
20-04-18,PA Trento,1-10
20-04-19,PA Trento,1-10
20-05-03,PA Trento,1-10
20-05-10,PA Trento,1-10
20-05-16,PA Trento,1-10
20-05-21,PA Trento,1-10
20-05-23,PA Trento,1-10
20-05-24,PA Trento,1-10
20-05-26,PA Trento,1-10
20-05-28,PA Trento,1-10
20-05-29,PA Trento,1-10
20-05-31,PA Trento,1-10
20-06-01,PA Trento,1-10
20-06-03,PA Trento,1-10
20-06-04,PA Trento,1-10
20-06-05,PA Trento,1-10
20-06-06,PA Trento,1-10
20-06-07,PA Trento,1-10
20-06-08,PA Trento,1-10
20-06-09,PA Trento,1-10
20-06-10,PA Trento,1-10
20-06-11,PA Trento,1-10
20-06-13,PA Trento,1-10
20-06-14,PA Trento,1-10
20-06-15,PA Trento,1-10
20-06-16,PA Trento,1-10
20-06-17,PA Trento,1-10
