classeEta,casi,dataAcquisizione
51-70,1402,2020-08-08
>70,846,2020-08-08
0-18,942,2020-08-09
19-50,3927,2020-08-09
51-70,1406,2020-08-09
>70,838,2020-08-09
0-18,980,2020-08-10
19-50,4018,2020-08-10
51-70,1426,2020-08-10
>70,839,2020-08-10
0-18,1047,2020-08-11
19-50,4220,2020-08-11
51-70,1506,2020-08-11
>70,872,2020-08-11
0-18,1088,2020-08-12
19-50,4367,2020-08-12
51-70,1530,2020-08-12
>70,866,2020-08-12
0-18,1088,2020-08-13
19-50,4367,2020-08-13
51-70,1530,2020-08-13
>70,866,2020-08-13
0-18,1228,2020-08-14
19-50,4684,2020-08-14
51-70,1600,2020-08-14
>70,873,2020-08-14
0-18,1265,2020-08-15
19-50,4871,2020-08-15
51-70,1650,2020-08-15
>70,883,2020-08-15
0-18,1277,2020-08-16
19-50,4895,2020-08-16
51-70,1645,2020-08-16
>70,863,2020-08-16
0-18,1308,2020-08-17
19-50,4997,2020-08-17
51-70,1672,2020-08-17
>70,878,2020-08-17
0-18,1406,2020-08-18
19-50,5426,2020-08-18
51-70,1789,2020-08-18
>70,934,2020-08-18
0-18,1471,2020-08-19
19-50,5592,2020-08-19
51-70,1785,2020-08-19
>70,931,2020-08-19
0-18,1562,2020-08-20
19-50,5869,2020-08-20
51-70,1841,2020-08-20
>70,960,2020-08-20
0-18,1629,2020-08-21
19-50,6270,2020-08-21
51-70,1895,2020-08-21
>70,968,2020-08-21
0-18,1675,2020-08-22
19-50,6617,2020-08-22
51-70,1938,2020-08-22
>70,961,2020-08-22
0-18,1724,2020-08-23
19-50,7008,2020-08-23
51-70,2001,2020-08-23
>70,958,2020-08-23
0-18,1800,2020-08-24
19-50,7498,2020-08-24
51-70,2130,2020-08-24
>70,987,2020-08-24
0-18,1931,2020-08-25
19-50,8550,2020-08-25
51-70,2351,2020-08-25
>70,1054,2020-08-25
0-18,1997,2020-08-26
19-50,8987,2020-08-26
51-70,2397,2020-08-26
>70,1062,2020-08-26
0-18,2145,2020-08-27
19-50,9721,2020-08-27
51-70,2587,2020-08-27
>70,1127,2020-08-27
0-18,2272,2020-08-28
19-50,10204,2020-08-28
51-70,2717,2020-08-28
>70,1154,2020-08-28
0-18,2443,2020-08-29
19-50,10915,2020-08-29
51-70,2866,2020-08-29
>70,1217,2020-08-29
0-18,2511,2020-08-30
19-50,11284,2020-08-30
51-70,3016,2020-08-30
>70,1254,2020-08-30
0-18,2617,2020-08-31
19-50,11828,2020-08-31
51-70,3174,2020-08-31
>70,1301,2020-08-31
0-18,2617,2020-09-01
19-50,11828,2020-09-01
51-70,3174,2020-09-01
>70,1301,2020-09-01
0-18,2885,2020-09-02
19-50,13155,2020-09-02
51-70,3572,2020-09-02
>70,1394,2020-09-02
0-18,2931,2020-09-03
19-50,13633,2020-09-03
51-70,3718,2020-09-03
>70,1440,2020-09-03
0-18,3063,2020-09-04
19-50,14274,2020-09-04
51-70,3992,2020-09-04
>70,1521,2020-09-04
0-18,3173,2020-09-05
19-50,15063,2020-09-05
51-70,4284,2020-09-05
>70,1611,2020-09-05
0-18,3272,2020-09-06
19-50,15505,2020-09-06
51-70,4454,2020-09-06
>70,1667,2020-09-06
0-18,3318,2020-09-07
19-50,15831,2020-09-07
51-70,4615,2020-09-07
>70,1723,2020-09-07
0-18,3530,2020-09-08
19-50,16759,2020-09-08
51-70,5081,2020-09-08
>70,1878,2020-09-08
0-18,3596,2020-09-09
19-50,17195,2020-09-09
51-70,5325,2020-09-09
>70,1934,2020-09-09
0-18,3647,2020-09-10
19-50,17492,2020-09-10
51-70,5509,2020-09-10
>70,2014,2020-09-10
0-18,3731,2020-09-11
19-50,18061,2020-09-11
51-70,5781,2020-09-11
>70,2087,2020-09-11
0-18,3929,2020-09-12
19-50,18854,2020-09-12
51-70,6205,2020-09-12
>70,2237,2020-09-12
0-18,3945,2020-09-13
19-50,18960,2020-09-13
51-70,6336,2020-09-13
>70,2284,2020-09-13
0-18,4025,2020-09-14
19-50,19195,2020-09-14
51-70,6495,2020-09-14
>70,2335,2020-09-14
0-18,4307,2020-09-15
19-50,20152,2020-09-15
51-70,6983,2020-09-15
>70,2540,2020-09-15
0-18,4330,2020-09-16
19-50,20255,2020-09-16
51-70,7107,2020-09-16
>70,2578,2020-09-16
0-18,4330,2020-09-17
19-50,20255,2020-09-17
51-70,7107,2020-09-17
>70,2578,2020-09-17
0-18,4392,2020-09-18
19-50,20438,2020-09-18
51-70,7384,2020-09-18
>70,2687,2020-09-18
0-18,4582,2020-09-19
19-50,21038,2020-09-19
51-70,7886,2020-09-19
>70,2889,2020-09-19
0-18,4560,2020-09-20
19-50,20141,2020-09-20
51-70,7914,2020-09-20
>70,2922,2020-09-20
0-18,4650,2020-09-21
19-50,19960,2020-09-21
51-70,8076,2020-09-21
>70,2987,2020-09-21
0-18,4650,2020-09-22
19-50,19960,2020-09-22
51-70,8076,2020-09-22
>70,2987,2020-09-22
0-18,4893,2020-09-23
19-50,20287,2020-09-23
51-70,8708,2020-09-23
>70,3274,2020-09-23
0-18,4911,2020-09-24
19-50,19956,2020-09-24
51-70,8859,2020-09-24
>70,3347,2020-09-24
0-18,4964,2020-09-25
19-50,19945,2020-09-25
51-70,9097,2020-09-25
>70,3437,2020-09-25
0-18,5049,2020-09-26
19-50,19931,2020-09-26
51-70,9264,2020-09-26
>70,3520,2020-09-26
0-18,5039,2020-09-27
19-50,19597,2020-09-27
51-70,9260,2020-09-27
>70,3531,2020-09-27
0-18,5124,2020-09-28
19-50,19721,2020-09-28
51-70,9500,2020-09-28
>70,3588,2020-09-28
0-18,5472,2020-09-29
19-50,20562,2020-09-29
51-70,9999,2020-09-29
>70,3843,2020-09-29
0-18,5460,2020-09-30
19-50,20209,2020-09-30
51-70,9956,2020-09-30
>70,3876,2020-09-30
0-18,5673,2020-10-01
19-50,20577,2020-10-01
51-70,10253,2020-10-01
>70,4008,2020-10-01
0-18,5836,2020-10-02
19-50,20741,2020-10-02
51-70,10438,2020-10-02
>70,4176,2020-10-02
0-18,5904,2020-10-03
19-50,20707,2020-10-03
51-70,10526,2020-10-03
>70,4224,2020-10-03
0-18,6131,2020-10-04
19-50,20923,2020-10-04
51-70,10689,2020-10-04
>70,4357,2020-10-04
0-18,6385,2020-10-05
19-50,21339,2020-10-05
51-70,10940,2020-10-05
>70,4492,2020-10-05
0-18,7041,2020-10-06
19-50,23218,2020-10-06
51-70,11963,2020-10-06
>70,5040,2020-10-06
0-18,7292,2020-10-07
19-50,23499,2020-10-07
51-70,12166,2020-10-07
>70,5188,2020-10-07
0-18,7721,2020-10-08
19-50,24414,2020-10-08
51-70,12743,2020-10-08
>70,5541,2020-10-08
0-18,7987,2020-10-09
19-50,24746,2020-10-09
51-70,12962,2020-10-09
>70,5665,2020-10-09
0-18,8654,2020-10-10
19-50,26741,2020-10-10
51-70,13967,2020-10-10
>70,6132,2020-10-10
0-18,8948,2020-10-11
19-50,27229,2020-10-11
51-70,14268,2020-10-11
>70,6283,2020-10-11
0-18,9898,2020-10-12
19-50,29627,2020-10-12
51-70,15473,2020-10-12
>70,6870,2020-10-12
0-18,9898,2020-10-13
19-50,29627,2020-10-13
51-70,15473,2020-10-13
>70,6870,2020-10-13
0-18,11799,2020-10-14
19-50,34246,2020-10-14
51-70,17825,2020-10-14
>70,7980,2020-10-14
0-18,11799,2020-10-15
19-50,34246,2020-10-15
51-70,17825,2020-10-15
>70,7980,2020-10-15
0-18,14279,2020-10-16
19-50,40338,2020-10-16
51-70,21197,2020-10-16
>70,9478,2020-10-16
0-18,15190,2020-10-17
19-50,42192,2020-10-17
51-70,22182,2020-10-17
>70,10002,2020-10-17
