data,inizio sintomi,inizio sintomi solo sintomatici,prelievo/diagnosi
2020-01-28,15,13,
2020-01-29,24,20,2
2020-01-30,30,25,
2020-01-31,31,26,
2020-02-01,54,46,
2020-02-02,39,33,
2020-02-03,24,21,
2020-02-04,25,22,
2020-02-05,30,29,
2020-02-06,27,24,1
2020-02-07,20,17,
2020-02-08,13,13,
2020-02-09,17,15,
2020-02-10,61,54,
2020-02-11,26,18,
2020-02-12,51,47,
2020-02-13,48,41,
2020-02-14,66,61,
2020-02-15,147,137,
2020-02-16,83,79,
2020-02-17,140,128,
2020-02-18,166,154,
2020-02-19,140,127,
2020-02-20,403,378,3
2020-02-21,315,294,35
2020-02-22,388,363,55
2020-02-23,529,481,74
2020-02-24,685,622,86
2020-02-25,822,773,190
2020-02-26,753,698,279
2020-02-27,918,807,278
2020-02-28,1211,1134,353
2020-02-29,1077,1001,372
2020-03-01,2469,2244,411
2020-03-02,1954,1801,632
2020-03-03,2261,2037,806
2020-03-04,1955,1754,1077
2020-03-05,2640,2387,1306
2020-03-06,2998,2668,1524
2020-03-07,3132,2857,1457
2020-03-08,3665,3332,1452
2020-03-09,4450,3934,2237
2020-03-10,6156,5467,2461
2020-03-11,4234,3729,2762
2020-03-12,4782,4220,3142
2020-03-13,5360,4729,4108
2020-03-14,4739,4127,3534
2020-03-15,5884,5212,2847
2020-03-16,5327,4699,4809
2020-03-17,4529,4021,5338
2020-03-18,4817,4202,5693
2020-03-19,4291,3757,5688
2020-03-20,6146,5335,6237
2020-03-21,3839,3318,4911
2020-03-22,3765,3320,3932
2020-03-23,4386,3787,6084
2020-03-24,3582,3034,5917
2020-03-25,3839,3229,5774
2020-03-26,3320,2774,5673
2020-03-27,3559,3015,5762
2020-03-28,3151,2669,4504
2020-03-29,2388,2085,2960
2020-03-30,3671,3049,5066
2020-03-31,2605,2133,5339
2020-04-01,4093,3341,4995
2020-04-02,2682,2151,4717
2020-04-03,2726,2237,4441
2020-04-04,2330,1866,3645
2020-04-05,2055,1708,2595
2020-04-06,2490,1944,4079
2020-04-07,2257,1800,4141
2020-04-08,2153,1792,4793
2020-04-09,2043,1616,4673
2020-04-10,2750,2174,5122
2020-04-11,1616,1279,3408
2020-04-12,1642,1433,1914
2020-04-13,1514,1303,2263
2020-04-14,1838,1525,3274
2020-04-15,2163,1713,3948
2020-04-16,1658,1362,3696
2020-04-17,1617,1323,3496
2020-04-18,1279,1114,2635
2020-04-19,1015,875,1386
2020-04-20,1885,1566,3002
2020-04-21,1212,1011,3070
2020-04-22,1220,1021,2606
2020-04-23,1249,936,2798
2020-04-24,1156,835,2734
2020-04-25,885,728,1664
2020-04-26,666,571,1018
2020-04-27,1145,892,1969
2020-04-28,885,652,2237
2020-04-29,952,625,2322
2020-04-30,873,548,2265
2020-05-01,688,539,1083
2020-05-02,505,406,1017
2020-05-03,406,317,504
2020-05-04,656,440,1447
2020-05-05,634,452,1543
2020-05-06,566,375,1443
2020-05-07,500,356,1388
2020-05-08,516,397,1384
2020-05-09,300,212,735
2020-05-10,336,267,334
2020-05-11,451,319,883
2020-05-12,450,320,923
2020-05-13,396,275,890
2020-05-14,329,227,900
2020-05-15,361,270,798
2020-05-16,245,183,614
2020-05-17,186,146,301
2020-05-18,323,259,658
2020-05-19,250,201,719
2020-05-20,303,227,675
2020-05-21,224,163,624
2020-05-22,195,155,689
2020-05-23,128,109,357
2020-05-24,90,76,146
2020-05-25,226,167,513
2020-05-26,181,139,541
2020-05-27,210,153,530
2020-05-28,167,116,517
2020-05-29,146,113,391
2020-05-30,124,92,287
2020-05-31,65,58,90
2020-06-01,178,136,386
2020-06-02,65,55,87
2020-06-03,133,107,361
2020-06-04,124,84,369
2020-06-05,168,114,386
2020-06-06,90,71,204
2020-06-07,68,60,82
2020-06-08,131,108,299
2020-06-09,124,92,368
2020-06-10,119,96,392
2020-06-11,102,75,448
2020-06-12,126,100,364
2020-06-13,71,63,215
2020-06-14,81,71,69
2020-06-15,113,91,279
2020-06-16,99,79,278
2020-06-17,95,69,302
2020-06-18,94,71,232
2020-06-19,89,72,290
2020-06-20,63,58,162
2020-06-21,59,52,61
2020-06-22,90,76,331
2020-06-23,72,66,294
2020-06-24,90,83,202
2020-06-25,90,75,204
2020-06-26,96,77,184
2020-06-27,77,62,122
2020-06-28,58,51,64
2020-06-29,103,85,235
2020-06-30,67,60,196
2020-07-01,114,96,237
2020-07-02,92,75,250
2020-07-03,78,66,237
2020-07-04,81,66,219
2020-07-05,64,55,82
2020-07-06,102,86,235
2020-07-07,102,86,221
2020-07-08,108,93,282
2020-07-09,85,78,219
