data,inizio sintomi,prelievo/diagnosi
2022-06-02,92,
2022-06-03,120,
2022-06-04,164,
2022-06-05,276,
2022-06-06,739,
2022-06-07,1754,
2022-06-08,3979,
2022-06-09,7305,22580
2022-06-10,7465,22900
2022-06-11,7417,19262
2022-06-12,8551,10055
2022-06-13,13331,43047
2022-06-14,12282,33944
2022-06-15,12517,37834
2022-06-16,11820,37659
2022-06-17,11962,38589
2022-06-18,11240,31287
2022-06-19,12508,15621
2022-06-20,19574,68847
2022-06-21,17422,52467
2022-06-22,17488,57662
2022-06-23,16827,56942
2022-06-24,16584,57703
2022-06-25,15720,49507
2022-06-26,16260,23267
2022-06-27,25314,103082
2022-06-28,22710,77663
2022-06-29,21706,82003
2022-06-30,20595,83546
2022-07-01,19472,83827
2022-07-02,15875,67514
2022-07-03,14918,30485
2022-07-04,21175,119420
2022-07-05,12013,81939
2022-07-06,6443,61420
2022-07-07,792,3301
2022-07-08,6,
