data,inizio sintomi,prelievo/diagnosi
2020-01-28,11,
2020-01-29,15,2
2020-01-30,17,
2020-01-31,12,
2020-02-01,46,
2020-02-02,30,
2020-02-03,23,
2020-02-04,21,
2020-02-05,29,
2020-02-06,25,1
2020-02-07,17,
2020-02-08,13,
2020-02-09,13,
2020-02-10,62,
2020-02-11,27,
2020-02-12,46,
2020-02-13,50,
2020-02-14,64,
2020-02-15,141,
2020-02-16,78,
2020-02-17,135,
2020-02-18,162,
2020-02-19,134,
2020-02-20,400,4
2020-02-21,305,35
2020-02-22,380,56
2020-02-23,494,76
2020-02-24,663,86
2020-02-25,813,190
2020-02-26,732,277
2020-02-27,870,285
2020-02-28,1172,356
2020-02-29,1065,371
2020-03-01,2435,411
2020-03-02,1902,630
2020-03-03,2203,805
2020-03-04,1911,1081
2020-03-05,2585,1297
2020-03-06,2907,1523
2020-03-07,3041,1403
2020-03-08,3582,1446
2020-03-09,4328,2242
2020-03-10,6012,2447
2020-03-11,4108,2768
2020-03-12,4641,3141
2020-03-13,5277,4098
2020-03-14,4640,3534
2020-03-15,5750,2852
2020-03-16,5254,4805
2020-03-17,4450,5341
2020-03-18,4759,5691
2020-03-19,4219,5689
2020-03-20,6026,6233
2020-03-21,3784,4916
2020-03-22,3776,3935
2020-03-23,4346,6080
2020-03-24,3523,5900
2020-03-25,3924,5772
2020-03-26,3328,5678
2020-03-27,3578,5759
2020-03-28,3235,4505
2020-03-29,2419,2959
2020-03-30,3664,5058
2020-03-31,2632,5340
2020-04-01,4066,4989
2020-04-02,2748,4720
2020-04-03,2743,4432
2020-04-04,2342,3646
2020-04-05,2053,2594
2020-04-06,2520,4078
2020-04-07,2334,4143
2020-04-08,2109,4789
2020-04-09,2066,4668
2020-04-10,2814,5116
2020-04-11,1703,3403
2020-04-12,1675,1913
2020-04-13,1555,2263
2020-04-14,1894,3277
2020-04-15,2152,3949
2020-04-16,1671,3691
2020-04-17,1671,3490
2020-04-18,1291,2637
2020-04-19,997,1386
2020-04-20,1907,2998
2020-04-21,1227,3072
2020-04-22,1184,2600
2020-04-23,1272,2797
2020-04-24,1118,2726
2020-04-25,881,1664
2020-04-26,683,1022
2020-04-27,1125,1970
2020-04-28,857,2231
2020-04-29,944,2320
2020-04-30,859,2258
2020-05-01,689,1082
2020-05-02,494,1012
2020-05-03,386,503
2020-05-04,598,1444
2020-05-05,592,1536
2020-05-06,517,1438
2020-05-07,493,1381
2020-05-08,483,1382
2020-05-09,281,732
2020-05-10,335,332
2020-05-11,378,883
2020-05-12,426,925
2020-05-13,368,890
2020-05-14,307,902
2020-05-15,311,794
2020-05-16,230,611
2020-05-17,180,300
2020-05-18,271,657
2020-05-19,228,717
2020-05-20,259,673
2020-05-21,185,622
2020-05-22,189,686
2020-05-23,113,357
2020-05-24,84,146
2020-05-25,185,512
2020-05-26,161,538
2020-05-27,186,531
2020-05-28,138,515
2020-05-29,134,391
2020-05-30,109,288
2020-05-31,61,90
2020-06-01,158,386
2020-06-02,56,86
2020-06-03,118,359
2020-06-04,106,368
2020-06-05,128,385
2020-06-06,81,205
2020-06-07,62,82
2020-06-08,116,297
2020-06-09,109,364
2020-06-10,112,389
2020-06-11,89,447
2020-06-12,110,361
2020-06-13,69,215
2020-06-14,68,67
2020-06-15,100,277
2020-06-16,83,276
2020-06-17,79,302
2020-06-18,76,232
2020-06-19,75,290
2020-06-20,56,160
2020-06-21,49,61
2020-06-22,77,328
2020-06-23,63,293
2020-06-24,79,201
2020-06-25,82,205
2020-06-26,89,180
2020-06-27,72,122
2020-06-28,44,63
2020-06-29,98,234
2020-06-30,61,198
2020-07-01,99,238
2020-07-02,89,247
2020-07-03,67,234
2020-07-04,74,210
2020-07-05,66,81
2020-07-06,96,235
2020-07-07,97,218
2020-07-08,91,283
2020-07-09,81,219
2020-07-10,96,256
2020-07-11,73,156
2020-07-12,67,53
2020-07-13,96,184
2020-07-14,104,234
2020-07-15,91,238
2020-07-16,79,258
2020-07-17,101,283
2020-07-18,90,162
2020-07-19,84,109
2020-07-20,123,314
2020-07-21,117,278
2020-07-22,107,275
2020-07-23,127,262
2020-07-24,111,307
2020-07-25,130,189
2020-07-26,93,91
2020-07-27,129,320
2020-07-28,133,312
2020-07-29,128,464
2020-07-30,115,303
2020-07-31,128,309
2020-08-01,147,195
2020-08-02,120,107
2020-08-03,199,411
2020-08-04,185,385
2020-08-05,213,481
2020-08-06,202,393
2020-08-07,197,500
2020-08-08,279,346
2020-08-09,211,193
2020-08-10,276,488
2020-08-11,260,522
2020-08-12,273,627
2020-08-13,294,536
2020-08-14,311,633
2020-08-15,338,328
2020-08-16,354,292
2020-08-17,538,695
2020-08-18,619,905
2020-08-19,582,1054
2020-08-20,614,1135
2020-08-21,631,1392
2020-08-22,571,1050
2020-08-23,585,707
2020-08-24,666,1651
2020-08-25,634,1564
2020-08-26,684,1495
2020-08-27,590,1472
2020-08-28,602,1452
2020-08-29,446,1033
2020-08-30,465,568
2020-08-31,552,1398
2020-09-01,717,1389
2020-09-02,636,1612
2020-09-03,591,1537
2020-09-04,648,1645
2020-09-05,571,1132
2020-09-06,536,566
2020-09-07,792,1549
2020-09-08,677,1619
2020-09-09,643,1639
2020-09-10,769,1663
2020-09-11,668,1610
2020-09-12,620,1204
2020-09-13,566,600
2020-09-14,833,1649
2020-09-15,835,1806
2020-09-16,801,1580
2020-09-17,799,1711
2020-09-18,810,1871
2020-09-19,825,1278
2020-09-20,826,638
2020-09-21,912,2000
2020-09-22,914,1931
2020-09-23,852,2056
2020-09-24,837,1979
2020-09-25,944,2095
2020-09-26,890,1517
2020-09-27,935,914
2020-09-28,1237,2297
2020-09-29,1266,2322
2020-09-30,1602,2543
2020-10-01,2117,3008
2020-10-02,2071,3219
2020-10-03,2044,2539
2020-10-04,2094,1670
2020-10-05,3085,5112
2020-10-06,3043,4783
2020-10-07,3402,5404
2020-10-08,4491,5780
2020-10-09,5292,6517
2020-10-10,5657,6002
2020-10-11,3865,3240
2020-10-12,6214,9372
2020-10-13,5883,10146
2020-10-14,6303,10826
2020-10-15,6946,11480
2020-10-16,7713,12722
2020-10-17,7329,11182
2020-10-18,7277,5978
2020-10-19,10225,16912
2020-10-20,10071,18277
2020-10-21,9643,21055
2020-10-22,9032,21942
2020-10-23,9554,23600
2020-10-24,8390,18270
2020-10-25,7875,10448
2020-10-26,9362,26174
2020-10-27,7623,28810
2020-10-28,6617,30142
2020-10-29,7764,28611
2020-10-30,5421,29101
2020-10-31,3500,19456
2020-11-01,2411,9655
2020-11-02,2338,17589
2020-11-03,1552,10222
2020-11-04,1248,3907
2020-11-05,715,589
