data,inizio sintomi,prelievo/diagnosi
2020-01-28,9,
2020-01-29,11,2
2020-01-30,17,
2020-01-31,16,
2020-02-01,65,
2020-02-02,30,
2020-02-03,23,
2020-02-04,21,
2020-02-05,26,
2020-02-06,25,1
2020-02-07,20,
2020-02-08,13,
2020-02-09,13,
2020-02-10,61,
2020-02-11,25,
2020-02-12,42,
2020-02-13,46,
2020-02-14,63,
2020-02-15,143,
2020-02-16,77,
2020-02-17,131,
2020-02-18,159,
2020-02-19,128,
2020-02-20,412,3
2020-02-21,300,34
2020-02-22,387,55
2020-02-23,524,75
2020-02-24,690,87
2020-02-25,839,196
2020-02-26,797,279
2020-02-27,908,286
2020-02-28,1236,359
2020-02-29,1077,368
2020-03-01,2547,411
2020-03-02,1948,639
2020-03-03,2296,811
2020-03-04,1969,1087
2020-03-05,2667,1309
2020-03-06,3012,1545
2020-03-07,3158,1412
2020-03-08,3697,1466
2020-03-09,4480,2236
2020-03-10,6227,2484
2020-03-11,4265,2783
2020-03-12,4798,3162
2020-03-13,5335,4131
2020-03-14,4721,3566
2020-03-15,5880,2869
2020-03-16,5240,4844
2020-03-17,4372,5338
2020-03-18,4724,5711
2020-03-19,4064,5711
2020-03-20,6013,6234
2020-03-21,3615,4912
2020-03-22,3550,3951
2020-03-23,4191,6091
2020-03-24,3384,5895
2020-03-25,3708,5789
2020-03-26,3124,5672
2020-03-27,3411,5747
2020-03-28,3005,4522
2020-03-29,2294,2971
2020-03-30,3478,5101
2020-03-31,2457,5315
2020-04-01,3906,4994
2020-04-02,2511,4717
2020-04-03,2619,4458
2020-04-04,2194,3650
2020-04-05,1930,2592
2020-04-06,2309,4057
2020-04-07,2114,4194
2020-04-08,2000,4759
2020-04-09,1896,4678
2020-04-10,2652,5121
2020-04-11,1485,3384
2020-04-12,1558,1916
2020-04-13,1428,2237
2020-04-14,1661,3303
2020-04-15,2040,3958
2020-04-16,1578,3660
2020-04-17,1506,3456
2020-04-18,1251,2652
2020-04-19,916,1375
2020-04-20,1945,3050
2020-04-21,1223,3043
2020-04-22,1176,2655
2020-04-23,1198,2818
2020-04-24,1050,2686
2020-04-25,840,1654
2020-04-26,638,1023
2020-04-27,1142,1952
2020-04-28,890,2226
2020-04-29,971,2304
2020-04-30,901,2265
2020-05-01,633,1106
2020-05-02,498,1001
2020-05-03,355,511
2020-05-04,651,1438
2020-05-05,632,1543
2020-05-06,636,1429
2020-05-07,536,1385
2020-05-08,539,1378
2020-05-09,292,734
2020-05-10,327,333
2020-05-11,416,884
2020-05-12,469,923
2020-05-13,420,878
2020-05-14,354,902
2020-05-15,360,787
2020-05-16,274,616
2020-05-17,168,299
2020-05-18,334,651
2020-05-19,274,721
2020-05-20,368,669
2020-05-21,272,613
2020-05-22,309,685
2020-05-23,155,364
2020-05-24,97,148
2020-05-25,216,512
2020-05-26,227,539
2020-05-27,261,536
2020-05-28,202,517
2020-05-29,191,391
2020-05-30,154,285
2020-05-31,49,91
2020-06-01,210,388
2020-06-02,51,86
2020-06-03,160,355
2020-06-04,161,368
2020-06-05,214,384
2020-06-06,108,200
2020-06-07,67,83
2020-06-08,184,294
2020-06-09,177,357
2020-06-10,158,396
2020-06-11,201,443
2020-06-12,185,365
2020-06-13,97,216
2020-06-14,88,67
2020-06-15,170,278
2020-06-16,130,274
2020-06-17,149,302
2020-06-18,122,236
2020-06-19,146,290
2020-06-20,86,155
2020-06-21,52,60
2020-06-22,127,327
2020-06-23,118,290
2020-06-24,103,198
2020-06-25,100,201
2020-06-26,129,184
2020-06-27,80,119
2020-06-28,43,63
2020-06-29,133,236
2020-06-30,100,196
2020-07-01,147,238
2020-07-02,129,249
2020-07-03,132,235
2020-07-04,100,212
2020-07-05,62,78
2020-07-06,154,241
2020-07-07,115,221
2020-07-08,128,279
2020-07-09,121,212
2020-07-10,153,247
2020-07-11,108,157
2020-07-12,75,55
2020-07-13,129,185
2020-07-14,121,232
2020-07-15,112,236
2020-07-16,110,247
2020-07-17,139,280
2020-07-18,110,164
2020-07-19,88,110
2020-07-20,145,314
2020-07-21,138,274
2020-07-22,123,266
2020-07-23,149,264
2020-07-24,133,304
2020-07-25,123,183
2020-07-26,85,88
2020-07-27,133,313
2020-07-28,112,304
2020-07-29,112,473
2020-07-30,93,275
2020-07-31,90,293
2020-08-01,64,173
2020-08-02,50,101
2020-08-03,138,351
2020-08-04,37,188
2020-08-05,10,71
2020-08-06,1,
