data,inizio sintomi,prelievo/diagnosi
2020-12-04,2105,
2020-12-05,2343,
2020-12-06,2341,
2020-12-07,4172,
2020-12-08,4499,
2020-12-09,5840,
2020-12-10,7420,20468
2020-12-11,6920,19600
2020-12-12,6732,14167
2020-12-13,6105,5779
2020-12-14,8416,17726
2020-12-15,7500,18410
2020-12-16,7285,16692
2020-12-17,7067,16363
2020-12-18,7296,16716
2020-12-19,6526,12760
2020-12-20,6743,6443
2020-12-21,7859,16657
2020-12-22,7522,19196
2020-12-23,7560,18501
2020-12-24,7100,15335
2020-12-25,5837,4563
2020-12-26,6833,7628
2020-12-27,6592,7573
2020-12-28,7943,18101
2020-12-29,6645,22842
2020-12-30,5659,22105
2020-12-31,4489,17947
2021-01-01,3826,5450
2021-01-02,3294,13997
2021-01-03,2651,7457
2021-01-04,2415,18111
2021-01-05,1225,14560
2021-01-06,452,2938
2021-01-07,168,1450
2021-01-08,32,2
