data,inizio sintomi,prelievo/diagnosi
2022-06-17,203,
2022-06-18,304,
2022-06-19,589,
2022-06-20,1713,
2022-06-21,3946,
2022-06-22,8728,
2022-06-23,16602,57203
2022-06-24,16686,57916
2022-06-25,15889,49700
2022-06-26,16497,23586
2022-06-27,25704,104530
2022-06-28,23206,79498
2022-06-29,22387,84002
2022-06-30,22064,85728
2022-07-01,22457,88120
2022-07-02,19079,71402
2022-07-03,20085,33239
2022-07-04,31988,145194
2022-07-05,28041,106020
2022-07-06,27771,107894
2022-07-07,24994,97987
2022-07-08,22864,99070
2022-07-09,20081,78696
2022-07-10,20304,33757
2022-07-11,30884,148967
2022-07-12,25832,106328
2022-07-13,24633,103535
2022-07-14,20783,91129
2022-07-15,18154,86747
2022-07-16,15244,65766
2022-07-17,12345,26264
2022-07-18,17337,103881
2022-07-19,10520,64249
2022-07-20,6346,54292
2022-07-21,3416,28521
2022-07-22,40,85
