data,inizio sintomi,prelievo/diagnosi
2020-12-10,1624,
2020-12-11,1901,
2020-12-12,2574,
2020-12-13,2781,
2020-12-14,4760,
2020-12-15,5378,
2020-12-16,6972,16738
2020-12-17,6767,16410
2020-12-18,7329,16746
2020-12-19,6644,12782
2020-12-20,6956,6509
2020-12-21,8050,16764
2020-12-22,7855,19272
2020-12-23,8021,18582
2020-12-24,7744,15452
2020-12-25,6603,4691
2020-12-26,7724,7820
2020-12-27,7844,7716
2020-12-28,9767,18408
2020-12-29,8575,23488
2020-12-30,8165,23047
2020-12-31,7496,18528
2021-01-01,7047,5638
2021-01-02,6828,14755
2021-01-03,6354,8198
2021-01-04,7844,22044
2021-01-05,6659,23791
2021-01-06,4783,8911
2021-01-07,4601,19493
2021-01-08,3437,18371
2021-01-09,2406,13623
2021-01-10,1421,5710
2021-01-11,1187,10670
2021-01-12,575,4914
2021-01-13,121,894
2021-01-14,,3
