data,inizio sintomi,prelievo/diagnosi
2022-08-04,54,
2022-08-05,78,
2022-08-06,125,
2022-08-07,247,
2022-08-08,652,
2022-08-09,1544,
2022-08-10,3405,
2022-08-11,6834,25226
2022-08-12,6315,24317
2022-08-13,5642,19133
2022-08-14,5034,9677
2022-08-15,6216,8242
2022-08-16,9621,38274
2022-08-17,7771,25954
2022-08-18,7207,24059
2022-08-19,6700,24060
2022-08-20,6361,19707
2022-08-21,5870,8844
2022-08-22,9339,36993
2022-08-23,7722,24909
2022-08-24,6706,22154
2022-08-25,6804,21243
2022-08-26,6295,21868
2022-08-27,5695,17244
2022-08-28,5283,7455
2022-08-29,8449,32071
2022-08-30,6342,20642
2022-08-31,5801,20081
2022-09-01,5334,18067
2022-09-02,4688,17087
2022-09-03,3928,13099
2022-09-04,3680,5412
2022-09-05,4427,21994
2022-09-06,2406,13761
2022-09-07,1305,9853
2022-09-08,187,360
2022-09-09,1,
