data,inizio sintomi,prelievo/diagnosi
2020-12-04,1521,
2020-12-05,1630,
2020-12-06,1567,
2020-12-07,2999,
2020-12-08,3247,
2020-12-09,4462,
2020-12-10,5723,
2020-12-11,6601,19611
2020-12-12,6624,14164
2020-12-13,5991,5778
2020-12-14,8375,17730
2020-12-15,7483,18414
2020-12-16,7307,16696
2020-12-17,7087,16367
2020-12-18,7320,16726
2020-12-19,6568,12764
2020-12-20,6820,6451
2020-12-21,7920,16677
2020-12-22,7628,19230
2020-12-23,7669,18528
2020-12-24,7258,15373
2020-12-25,6011,4567
2020-12-26,7073,7636
2020-12-27,6896,7584
2020-12-28,8318,18162
2020-12-29,7024,23064
2020-12-30,6156,22426
2020-12-31,5184,18187
2021-01-01,4703,5513
2021-01-02,4110,14430
2021-01-03,3486,7954
2021-01-04,3195,19974
2021-01-05,1748,19193
2021-01-06,775,4816
2021-01-07,639,5814
2021-01-08,78,1079
2021-01-09,1,
