data,inizio sintomi,prelievo/diagnosi
2022-08-04,104,
2022-08-05,145,
2022-08-06,259,
2022-08-07,662,
2022-08-08,1785,
2022-08-09,3861,
2022-08-10,7821,27932
2022-08-11,6933,25228
2022-08-12,6330,24314
2022-08-13,5645,19134
2022-08-14,5035,9676
2022-08-15,6217,8241
2022-08-16,9625,38272
2022-08-17,7777,25954
2022-08-18,7207,24056
2022-08-19,6704,24059
2022-08-20,6359,19706
2022-08-21,5868,8838
2022-08-22,9338,36977
2022-08-23,7714,24894
2022-08-24,6698,22142
2022-08-25,6786,21226
2022-08-26,6283,21842
2022-08-27,5674,17222
2022-08-28,5247,7447
2022-08-29,8383,32053
2022-08-30,6279,20632
2022-08-31,5717,20048
2022-09-01,5187,18027
2022-09-02,4470,17021
2022-09-03,3520,13055
2022-09-04,2955,5377
2022-09-05,3204,21011
2022-09-06,1250,11240
2022-09-07,802,1920
2022-09-08,2,2
