data,inizio sintomi,prelievo/diagnosi
2022-08-02,147,
2022-08-03,235,
2022-08-04,471,
2022-08-05,1161,
2022-08-06,2815,
2022-08-07,5249,
2022-08-08,10961,45127
2022-08-09,8390,29619
2022-08-10,8111,27935
2022-08-11,7102,25229
2022-08-12,6493,24312
2022-08-13,5795,19131
2022-08-14,5037,9671
2022-08-15,6226,8240
2022-08-16,9620,38240
2022-08-17,7774,25932
2022-08-18,7204,24034
2022-08-19,6706,24041
2022-08-20,6350,19689
2022-08-21,5867,8826
2022-08-22,9332,36953
2022-08-23,7675,24871
2022-08-24,6658,22122
2022-08-25,6753,21218
2022-08-26,6231,21821
2022-08-27,5614,17202
2022-08-28,5170,7422
2022-08-29,8215,31993
2022-08-30,6132,20574
2022-08-31,5493,19999
2022-09-01,4740,17898
2022-09-02,3663,16632
2022-09-03,2358,12278
2022-09-04,985,4611
2022-09-05,1563,11908
2022-09-06,16,23
