data,inizio sintomi,prelievo/diagnosi
2022-06-20,257,
2022-06-21,334,
2022-06-22,603,
2022-06-23,1280,
2022-06-24,3932,
2022-06-25,8762,
2022-06-26,16255,23601
2022-06-27,25572,104547
2022-06-28,23165,79526
2022-06-29,22380,84115
2022-06-30,22083,85828
2022-07-01,22466,88210
2022-07-02,19103,71483
2022-07-03,20122,33315
2022-07-04,32042,145363
2022-07-05,28108,106202
2022-07-06,27890,108053
2022-07-07,25123,98168
2022-07-08,23220,100074
2022-07-09,20118,78735
2022-07-10,20394,33788
2022-07-11,31064,149064
2022-07-12,26048,106519
2022-07-13,24899,103807
2022-07-14,21222,91875
2022-07-15,18881,87050
2022-07-16,16291,66091
2022-07-17,14329,26880
2022-07-18,21016,107791
2022-07-19,15821,70938
2022-07-20,13139,66672
2022-07-21,9155,55022
2022-07-22,5498,43422
2022-07-23,2826,21906
2022-07-24,189,657
2022-07-25,9,1
