codINT,codBDAP,AREA,REGIONE,ENTE,POP,Quota a),Quota b),Contributo spettante,pagina
1010020010,668242930533365502,NORD,PIEMONTE,ACQUI TERME,19.604,"103.931,86","685,87","104.617,73",e-page-9-table-1.csv
1010020020,681742930510597001,NORD,PIEMONTE,ALBERA LIGURE,300,"1.590,47","418,61","2.009,08",e-page-9-table-1.csv
1010020030,136842930509823702,NORD,PIEMONTE,ALESSANDRIA,93.631,"496.390,74",-,"496.390,74",e-page-9-table-1.csv
1010020040,972642928168076602,NORD,PIEMONTE,ALFIANO NATTA,779,"4.129,92","933,61","5.063,53",e-page-9-table-1.csv
1010020050,769942930533553002,NORD,PIEMONTE,ALICE BEL COLLE,746,"3.954,97","1.843,45","5.798,41",e-page-9-table-1.csv
1010020062,694651560657737101,NORD,PIEMONTE,ALLUVIONI PIOVERA,1.738,"9.214,12","1.291,19","10.505,31",e-page-9-table-1.csv
1010020070,911142930462634802,NORD,PIEMONTE,ALTAVILLA MONFERRATO,430,"2.279,67",-,"2.279,67",e-page-9-table-1.csv
1010020080,533042930464310102,NORD,PIEMONTE,ALZANO SCRIVIA,350,"1.855,55","411,18","2.266,73",e-page-9-table-1.csv
1010020090,564942930510791302,NORD,PIEMONTE,ARQUATA SCRIVIA,6.368,"33.760,36",-,"33.760,36",e-page-9-table-1.csv
1010020100,372842930518254302,NORD,PIEMONTE,AVOLASCA,262,"1.389,01","44,67","1.433,68",e-page-9-table-1.csv
1010020110,697342929012746502,NORD,PIEMONTE,BALZOLA,1.347,"7.141,21","869,28","8.010,49",e-page-9-table-1.csv
1010020120,975042930510541501,NORD,PIEMONTE,BASALUZZO,2.071,"10.979,54",-,"10.979,54",e-page-9-table-1.csv
1010020130,262442930520993002,NORD,PIEMONTE,BASSIGNANA,1.674,"8.874,82","1.812,64","10.687,46",e-page-9-table-1.csv
1010020140,812442930464460202,NORD,PIEMONTE,BELFORTE MONFERRATO,507,"2.687,89","409,81","3.097,70",e-page-9-table-1.csv
1010020150,617942930460510202,NORD,PIEMONTE,BERGAMASCO,720,"3.817,13","407,72","4.224,85",e-page-9-table-1.csv
1010020160,165442928043802902,NORD,PIEMONTE,BERZANO DI TORTONA,154,"816,44","106,00","922,44",e-page-9-table-1.csv
1010020170,915242930508811001,NORD,PIEMONTE,BISTAGNO,1.794,"9.511,01","1.847,57","11.358,58",e-page-9-table-1.csv
1010020180,877442930517084701,NORD,PIEMONTE,BORGHETTO DI BORBERA,1.957,"10.375,16",-,"10.375,16",e-page-9-table-1.csv
1010020190,991942930511125502,NORD,PIEMONTE,BORGORATTO ALESSANDRINO,550,"2.915,86","61,86","2.977,72",e-page-9-table-1.csv
1010020200,728842930460376401,NORD,PIEMONTE,BORGO SAN MARTINO,1.398,"7.411,59","1.203,20","8.614,78",e-page-9-table-1.csv
1010020210,605142928043599202,NORD,PIEMONTE,BOSCO MARENGO,2.360,"12.511,69",-,"12.511,69",e-page-9-table-1.csv
1010020220,378142930534621701,NORD,PIEMONTE,BOSIO,1.178,"6.245,24","1.445,75","7.690,99",e-page-9-table-1.csv
1010020230,208342930460922602,NORD,PIEMONTE,BOZZOLE,334,"1.770,72","662,99","2.433,71",e-page-9-table-1.csv
1010020240,719042930517652301,NORD,PIEMONTE,BRIGNANO-FRASCATA,437,"2.316,78","251,51","2.568,30",e-page-9-table-1.csv
1010020250,933042928956248401,NORD,PIEMONTE,CABELLA LIGURE,503,"2.666,69","295,68","2.962,37",e-page-9-table-1.csv
1010020260,422942930517743102,NORD,PIEMONTE,CAMAGNA MONFERRATO,494,"2.618,97","338,57","2.957,54",e-page-9-table-1.csv
1010020270,363942927929319102,NORD,PIEMONTE,CAMINO,751,"3.981,47",-,"3.981,47",e-page-9-table-1.csv
1010020280,804042930530337202,NORD,PIEMONTE,CANTALUPO LIGURE,476,"2.523,54","170,54","2.694,09",e-page-9-table-1.csv
