1030450680,251542930535989801,NORD,LOMBARDIA,VILLIMPENTA,2.189,"11.605,12","1.985,35","13.590,47",e-page-29-table-1.csv
1030450700,247142930527309001,NORD,LOMBARDIA,VOLTA MANTOVANA,7.326,"38.839,26","6.124,81","44.964,07",e-page-29-table-1.csv
1030490020,682442930509273402,NORD,LOMBARDIA,ABBIATEGRASSO,32.610,"172.884,00",-,"172.884,00",e-page-29-table-1.csv
1030490030,274742930507794401,NORD,LOMBARDIA,AGRATE BRIANZA,15.598,"82.693,80",-,"82.693,80",e-page-29-table-1.csv
1030490040,547642930532282601,NORD,LOMBARDIA,AICURZIO,2.096,"11.112,08",-,"11.112,08",e-page-29-table-1.csv
1030490050,906142930464080001,NORD,LOMBARDIA,ALBAIRATE,4.702,"24.927,95",-,"24.927,95",e-page-29-table-1.csv
1030490060,551542930510651401,NORD,LOMBARDIA,ALBIATE,6.375,"33.797,47",-,"33.797,47",e-page-29-table-1.csv
1030490070,817742930534934501,NORD,LOMBARDIA,ARCONATE,6.628,"35.138,77",-,"35.138,77",e-page-29-table-1.csv
1030490080,435842930510965401,NORD,LOMBARDIA,ARCORE,17.933,"95.072,95",-,"95.072,95",e-page-29-table-1.csv
1030490090,632542930460063802,NORD,LOMBARDIA,ARESE,19.495,"103.353,99",-,"103.353,99",e-page-29-table-1.csv
1030490100,918342927979693102,NORD,LOMBARDIA,ARLUNO,12.027,"63.761,91",-,"63.761,91",e-page-29-table-1.csv
1030490110,878742929309357202,NORD,LOMBARDIA,ASSAGO,9.151,"48.514,61",-,"48.514,61",e-page-29-table-1.csv
1030490116,355342930468737802,NORD,LOMBARDIA,BARANZATE,11.983,"63.528,64","22.556,30","86.084,94",e-page-29-table-1.csv
1030490120,654642930460302701,NORD,LOMBARDIA,BAREGGIO,17.344,"91.950,33",-,"91.950,33",e-page-29-table-1.csv
1030490130,898242929118597101,NORD,LOMBARDIA,BARLASSINA,7.019,"37.211,68",-,"37.211,68",e-page-29-table-1.csv
1030490140,841442930507801702,NORD,LOMBARDIA,BASIANO,3.680,"19.509,76",-,"19.509,76",e-page-29-table-1.csv
1030490150,372242930460591101,NORD,LOMBARDIA,BASIGLIO,8.010,"42.465,53",-,"42.465,53",e-page-29-table-1.csv
1030490160,766542927975285601,NORD,LOMBARDIA,BELLINZAGO LOMBARDO,3.869,"20.511,75",-,"20.511,75",e-page-29-table-1.csv
1030490170,759842930342859001,NORD,LOMBARDIA,BELLUSCO,7.415,"39.311,10",-,"39.311,10",e-page-29-table-1.csv
1030490180,805842930509185101,NORD,LOMBARDIA,BERNAREGGIO,11.209,"59.425,23",-,"59.425,23",e-page-29-table-1.csv
1030490190,385442928043678802,NORD,LOMBARDIA,BERNATE TICINO,3.033,"16.079,64",-,"16.079,64",e-page-29-table-1.csv
1030490210,402642930511105501,NORD,LOMBARDIA,BESANA IN BRIANZA,15.532,"82.343,89",-,"82.343,89",e-page-29-table-1.csv
1030490220,395442930465144201,NORD,LOMBARDIA,BESATE,2.060,"10.921,22","846,96","11.768,18",e-page-29-table-1.csv
1030490230,703542930529683202,NORD,LOMBARDIA,BIASSONO,12.250,"64.944,16",-,"64.944,16",e-page-29-table-1.csv
1030490240,895742930530491102,NORD,LOMBARDIA,BINASCO,7.259,"38.484,05",-,"38.484,05",e-page-29-table-1.csv
1030490260,307842928636919901,NORD,LOMBARDIA,BOFFALORA SOPRA TICINO,4.131,"21.900,76",-,"21.900,76",e-page-29-table-1.csv
1030490270,799142930464148602,NORD,LOMBARDIA,BOLLATE,36.564,"193.846,39",-,"193.846,39",e-page-29-table-1.csv
1030490300,798842930464854601,NORD,LOMBARDIA,BOVISIO-MASCIAGO,16.933,"89.771,38",-,"89.771,38",e-page-29-table-1.csv
1030490320,479242928592717301,NORD,LOMBARDIA,BRESSO,26.300,"139.431,13",-,"139.431,13",e-page-29-table-1.csv
1030490330,382242930508843601,NORD,LOMBARDIA,BRIOSCO,6.078,"32.222,91",-,"32.222,91",e-page-29-table-1.csv
1030490340,829442930508923701,NORD,LOMBARDIA,BRUGHERIO,35.064,"185.894,04",-,"185.894,04",e-page-29-table-1.csv
1030490350,431142928242857102,NORD,LOMBARDIA,BUBBIANO,2.400,"12.723,75",-,"12.723,75",e-page-29-table-1.csv
1030490360,676242930220737602,NORD,LOMBARDIA,BUCCINASCO,27.102,"143.682,99",-,"143.682,99",e-page-29-table-1.csv
1030490370,411442930515834401,NORD,LOMBARDIA,BURAGO DI MOLGORA,4.246,"22.510,44",-,"22.510,44",e-page-29-table-1.csv
1030490380,548942930459670202,NORD,LOMBARDIA,BUSCATE,4.697,"24.901,45",-,"24.901,45",e-page-29-table-1.csv
1030490390,468442930460274501,NORD,LOMBARDIA,BUSNAGO,6.785,"35.971,11",-,"35.971,11",e-page-29-table-1.csv
1030490400,219342930461496201,NORD,LOMBARDIA,BUSSERO,8.439,"44.739,90",-,"44.739,90",e-page-29-table-1.csv
1030490410,813842930464787802,NORD,LOMBARDIA,BUSTO GAROLFO,13.891,"73.644,03",-,"73.644,03",e-page-29-table-1.csv
1030490420,883542930509244801,NORD,LOMBARDIA,CALVIGNASCO,1.228,"6.510,32",-,"6.510,32",e-page-29-table-1.csv
1030490440,641242930464771301,NORD,LOMBARDIA,CAMBIAGO,7.023,"37.232,88",-,"37.232,88",e-page-29-table-1.csv
1030490450,241842930515814201,NORD,LOMBARDIA,CAMPARADA,2.156,"11.430,17",-,"11.430,17",e-page-29-table-1.csv
1030490460,727542928577623102,NORD,LOMBARDIA,CANEGRATE,12.679,"67.218,53",-,"67.218,53",e-page-29-table-1.csv
1030490470,341242930523112101,NORD,LOMBARDIA,CAPONAGO,5.179,"27.456,80",-,"27.456,80",e-page-29-table-1.csv
1030490480,593042930525941702,NORD,LOMBARDIA,CARATE BRIANZA,17.945,"95.136,57",-,"95.136,57",e-page-29-table-1.csv
1030490490,471642930530253501,NORD,LOMBARDIA,CARNATE,7.336,"38.892,27",-,"38.892,27",e-page-29-table-1.csv
1030490500,316642930530285002,NORD,LOMBARDIA,CARPIANO,4.194,"22.234,76",-,"22.234,76",e-page-29-table-1.csv
1030490510,675642929321111502,NORD,LOMBARDIA,CARUGATE,15.556,"82.471,13",-,"82.471,13",e-page-29-table-1.csv
1030490550,665342930460685202,NORD,LOMBARDIA,CASARILE,4.074,"21.598,57",-,"21.598,57",e-page-29-table-1.csv
1030490580,586642930509511902,NORD,LOMBARDIA,CASOREZZO,5.465,"28.973,05",-,"28.973,05",e-page-29-table-1.csv
1030490590,966642930509129402,NORD,LOMBARDIA,CASSANO D'ADDA,19.079,"101.148,54",-,"101.148,54",e-page-29-table-1.csv
1030490600,587742930460346402,NORD,LOMBARDIA,CASSINA DE' PECCHI,13.891,"73.644,03",-,"73.644,03",e-page-29-table-1.csv
1030490610,948042930532892601,NORD,LOMBARDIA,CASSINETTA DI LUGAGNANO,1.870,"9.913,92",-,"9.913,92",e-page-29-table-1.csv
1030490620,868642930515771301,NORD,LOMBARDIA,CASTANO PRIMO,11.207,"59.414,63",-,"59.414,63",e-page-29-table-1.csv
1030490680,123142930463041001,NORD,LOMBARDIA,CAVENAGO DI BRIANZA,7.361,"39.024,81",-,"39.024,81",e-page-29-table-1.csv
1030490690,578642928247046702,NORD,LOMBARDIA,CERIANO LAGHETTO,6.572,"34.841,88",-,"34.841,88",e-page-29-table-1.csv
1030490700,848142930518599101,NORD,LOMBARDIA,CERNUSCO SUL NAVIGLIO,34.604,"183.455,32",-,"183.455,32",e-page-29-table-1.csv
1030490710,773842930475318301,NORD,LOMBARDIA,CERRO AL LAMBRO,5.127,"27.181,12",-,"27.181,12",e-page-29-table-1.csv
