Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,136,1369,15,185,23,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Basilicata,60,444,3,88,13,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Calabria,250,952,18,152,25,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Campania,749,4143,63,620,36,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Emilia-Romagna,532,6538,104,760,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Friuli Venezia Giulia,38,1277,5,175,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Lazio,933,6421,155,943,193,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Liguria,117,1751,33,228,12,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Lombardia,1131,8126,243,1416,114,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Marche,120,1174,30,210,54,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Molise,10,221,4,39,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
P.A. Bolzano,14,429,3,100,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
P.A. Trento,20,517,14,90,15,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Piemonte,628,5824,84,628,99,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Puglia,606,3772,65,560,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Sardegna,145,1602,14,216,33,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Sicilia,502,3516,72,777,196,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Toscana,443,5033,114,518,24,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Umbria,68,687,6,116,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Valle d'Aosta,6,227,0,30,6,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Veneto,292,6000,50,1000,0,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
Italia,6800,60023,1095,8851,843,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52
