Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,132,1324,17,181,14,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Basilicata,29,360,1,79,13,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Calabria,219,989,21,186,6,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Campania,423,3530,31,520,214,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Emilia-Romagna,1032,9001,103,889,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Friuli Venezia Giulia,281,1277,34,175,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Lazio,828,6421,117,943,243,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Liguria,347,1749,29,300,12,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Lombardia,1225,10237,160,1530,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Marche,168,970,36,250,52,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Molise,7,176,2,39,26,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
P.A. Bolzano,80,500,17,100,20,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
P.A. Trento,87,517,23,90,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Piemonte,693,5824,59,628,99,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Puglia,149,2722,25,482,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Sardegna,116,1602,11,204,16,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Sicilia,514,3625,61,864,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Toscana,327,5033,59,570,28,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Umbria,55,662,8,88,39,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Valle d'Aosta,22,99,2,33,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Veneto,992,6000,150,1000,0,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
Italia,7726,62618,966,9151,782,Dati della Protezione Civile del 19 Dicembre 2021 ore 19:30
