Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,81,1324,6,177,23,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Basilicata,52,364,3,88,13,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Calabria,174,964,15,174,3,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Campania,304,3511,20,555,189,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Emilia-Romagna,416,7920,43,889,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Friuli Venezia Giulia,48,1277,11,175,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Lazio,442,6421,56,943,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Liguria,77,1682,5,217,12,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Lombardia,435,6369,63,1530,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Marche,56,971,21,212,59,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Molise,5,176,2,39,26,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
P.A. Bolzano,23,500,8,100,20,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
P.A. Trento,17,517,1,90,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Piemonte,205,5824,24,628,99,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Puglia,194,2741,20,482,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Sardegna,188,1602,18,204,16,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Sicilia,660,3725,96,885,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Toscana,336,5033,51,570,35,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Umbria,46,662,5,84,43,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Valle d'Aosta,2,83,1,33,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Veneto,221,6000,54,1000,0,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
Italia,3982,57666,523,9075,538,Dati della Protezione Civile del 20 Settembre 2021 ore 18:07
