Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,202,1369,21,185,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Basilicata,107,448,8,88,13,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Calabria,356,973,23,152,25,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Campania,1166,4286,95,620,36,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Emilia-Romagna,1062,6538,156,760,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Friuli Venezia Giulia,72,1277,15,175,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Lazio,1563,6421,235,943,193,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Liguria,267,1771,52,226,12,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Lombardia,2028,9457,371,1416,114,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Marche,262,1230,48,210,61,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Molise,19,221,4,39,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
P.A. Bolzano,18,399,1,100,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
P.A. Trento,47,517,15,90,15,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Piemonte,1179,5824,140,628,99,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Puglia,1097,3768,126,586,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Sardegna,211,1602,39,216,33,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Sicilia,808,3848,112,834,196,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Toscana,853,5033,178,577,22,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Umbria,114,662,17,116,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Valle d'Aosta,22,227,3,30,6,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Veneto,571,6000,95,1000,0,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
Italia,12024,61871,1754,8991,825,Dati della Protezione Civile del 17 Maggio 2021 ore 18:24
