Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,314,38339,11216,859,508,5%,468,36,-2.1&,40,3.06,5.3%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Basilicata,72,12197,6736,1209,94,1%,90,16,-4.3&,4,0.72,0%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Calabria,283,27736,9611,499,309,3%,284,15,3.3&,25,1.3,13.6%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Campania,1098,202552,72260,1249,1511,2%,1405,24,-0.6&,106,1.83,-2.8%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Emilia-Romagna,1178,195573,57980,1298,2908,5%,2679,60,-1.9&,229,5.13,-3.4%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Friuli Venezia Giulia,546,57787,12798,1057,734,6%,665,55,-0.9&,69,5.7,1.5%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Lazio,1612,183908,78223,1334,3205,4%,2892,49,0.7&,313,5.34,-4%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Liguria,395,64671,5002,324,751,15%,689,45,-5.7&,62,4.02,-4.6%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Lombardia,2245,505637,54963,544,4113,7%,3651,36,0.3&,462,4.57,-0.9%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Marche,480,48127,13158,867,667,5%,594,39,1&,73,4.81,-7.6%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Molise,97,7236,1116,369,64,6%,55,18,-6.8&,9,2.98,50%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
P.A. Bolzano,269,32012,11675,2194,235,2%,212,40,-4.5&,23,4.32,-8%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
P.A. Trento,175,24118,1988,366,364,18%,320,59,-6.7&,44,8.11,2.3%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Piemonte,1009,209481,14760,340,2777,19%,2605,60,-1.8&,172,3.96,0.6%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Puglia,1082,104578,55478,1384,1571,3%,1406,35,1&,165,4.12,-2.9%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Sardegna,233,34669,17447,1070,579,3%,532,33,1.9&,47,2.88,4.4%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Sicilia,1969,113524,44677,899,1579,4%,1371,28,2.2&,208,4.19,-0.5%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Toscana,507,126140,8826,237,878,10%,738,20,-4.5&,140,3.76,2.2%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Umbria,307,31467,4470,508,325,7%,275,31,2.6&,50,5.68,-10.7%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Valle d'Aosta,19,7565,420,335,45,11%,43,34,-12.2&,2,1.59,100%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Veneto,1884,291719,81970,1670,2887,4%,2551,52,-1.7&,336,6.85,-6.4%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Italia,15774,2319036,564774,937,26104,5%,23525,39,-0.8&,2579,4.28,-2.2%,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
