Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,443,1491,36,189,0,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Basilicata,98,432,5,88,13,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Calabria,255,918,18,152,25,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Campania,1440,4196,95,620,36,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Emilia-Romagna,2609,5747,210,757,0,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Friuli Venezia Giulia,626,1277,58,175,0,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Lazio,2802,6421,301,943,194,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Liguria,695,1644,66,218,12,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Lombardia,3801,12122,508,1260,270,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Marche,428,1162,65,216,40,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Molise,55,221,8,34,0,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
P.A. Bolzano,154,466,20,77,2,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
P.A. Trento,356,604,45,90,15,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Piemonte,3039,5849,211,628,99,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Puglia,1444,3471,154,458,84,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Sardegna,483,1653,43,180,27,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Sicilia,1027,4137,174,804,196,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Toscana,847,5033,165,574,3,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Umbria,260,780,36,130,2,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Valle d'Aosta,83,176,2,33,4,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Veneto,2626,6000,360,1000,0,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
Italia,23571,63800,2580,8626,1022,Dati della Protezione Civile del 27 Dicembre 2020 ore 20:23
