Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,61,1324,9,181,19,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Basilicata,26,364,0,88,13,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Calabria,101,966,6,174,3,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Campania,269,3511,22,555,189,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Emilia-Romagna,320,7920,29,889,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Friuli Venezia Giulia,79,1277,17,175,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Lazio,433,6421,58,943,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Liguria,78,1715,11,217,12,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Lombardia,293,6369,48,1530,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Marche,60,964,20,212,61,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Molise,5,176,2,39,26,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
P.A. Bolzano,56,500,4,100,20,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
P.A. Trento,26,517,2,90,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Piemonte,203,5824,22,628,99,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Puglia,141,2745,20,482,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Sardegna,42,1602,7,204,16,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Sicilia,305,3744,40,892,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Toscana,271,5033,28,570,36,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Umbria,41,662,7,84,43,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Valle d'Aosta,5,83,0,33,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Veneto,177,6000,33,1000,0,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
Italia,2992,57717,385,9086,537,Dati della Protezione Civile del 02 Novembre 2021 ore 17:55
