Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,40,74.694,1.037,80,33,3%,31,2,-1140%,2,015,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Basilicata,28,26.884,897,162,27,3%,27,5,-1290%,0,000,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Calabria,30,68.793,6.019,318,87,1%,78,4,-600%,9,048,2860%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Campania,112,423.728,9.576,168,272,3%,252,4,-420%,20,035,-910%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Emilia-Romagna,72,386.512,4.199,94,226,5%,196,4,-340%,30,067,-630%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Friuli Venezia Giulia,25,106.867,237,20,10,4%,10,1,1110%,0,000,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Lazio,97,345.553,3.651,63,328,9%,254,4,-080%,74,129,-130%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Liguria,10,103.382,209,14,29,14%,21,1,-1600%,8,052,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Lombardia,155,841.184,12.502,125,386,3%,321,3,-830%,65,065,-970%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Marche,12,103.583,1.620,107,33,2%,27,2,000%,6,040,2000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Molise,6,13.691,88,29,8,9%,8,3,3330%,0,000,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
P.A. Bolzano,4,73.274,206,39,9,4%,6,1,000%,3,056,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
P.A. Trento,4,45.748,106,19,11,10%,8,1,1430%,3,055,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Piemonte,36,362.746,1.267,29,219,17%,202,5,100%,17,039,-2610%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Puglia,42,253.079,5.312,134,181,3%,165,4,-290%,16,040,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Sardegna,16,57.162,2.377,147,47,2%,42,3,-2080%,5,031,2500%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Sicilia,119,231.082,4.753,97,212,4%,185,4,-1020%,27,055,800%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Toscana,73,244.057,2.555,69,142,6%,113,3,-420%,29,079,-940%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Umbria,9,56.806,836,96,23,3%,21,2,-870%,2,023,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Valle d'Aosta,2,11.678,35,28,1,3%,1,1,000%,0,000,000%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Veneto,35,425.197,4.827,99,71,1%,59,1,-1320%,12,025,-770%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
Italia,927,4.255.700,62.309,104,2.355,4%,2.027,3,-530%,328,055,-470%,Dati della Protezione Civile del 24 Giugno 2021 ore 20:05
