Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,24,1324,1,185,23,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Basilicata,10,414,0,88,13,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Calabria,48,798,2,151,25,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Campania,195,3828,12,575,81,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Emilia-Romagna,140,6538,14,760,0,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Friuli Venezia Giulia,5,1277,1,175,0,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Lazio,105,6421,25,943,193,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Liguria,7,1702,5,212,12,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Lombardia,128,6369,29,1416,114,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Marche,9,951,2,209,57,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Molise,1,176,0,32,0,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
P.A. Bolzano,5,391,0,100,0,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
P.A. Trento,1,517,1,60,15,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Piemonte,49,5824,4,628,99,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Puglia,69,2799,7,462,0,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Sardegna,42,1602,3,216,33,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Sicilia,140,3001,21,655,196,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Toscana,62,5033,15,446,37,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Umbria,7,671,1,97,30,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Valle d'Aosta,0,67,0,15,6,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Veneto,42,6000,10,1000,0,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
Italia,1089,55703,153,8425,934,Dati della Protezione Civile del 15 Luglio 2021 ore 18:22
