Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,136,1382,2,181,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Basilicata,25,338,1,79,14,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Calabria,127,952,8,179,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Campania,263,3878,7,575,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Emilia-Romagna,646,9001,19,889,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Friuli Venezia Giulia,151,1277,2,175,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Lazio,424,6421,26,943,243,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Liguria,128,1568,6,218,12,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Lombardia,581,10457,9,1810,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Marche,67,983,4,230,48,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Molise,7,176,0,39,26,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
P.A. Bolzano,96,500,3,100,20,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
P.A. Trento,47,517,4,90,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Piemonte,359,6794,6,628,99,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Puglia,115,2735,6,405,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Sardegna,54,1602,1,204,16,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Sicilia,162,3363,11,797,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Toscana,227,5033,4,570,13,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Umbria,119,662,2,86,41,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Valle d'Aosta,9,67,0,13,21,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Veneto,358,6000,15,1000,0,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
Italia,4101,63706,136,9211,553,Dati della Protezione Civile del 30 Settembre 2022 ore 23:45
