Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,468,1476,40,189,0,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Basilicata,90,431,4,88,13,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Calabria,284,913,25,152,25,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Campania,1405,4563,106,620,36,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Emilia-Romagna,2679,6126,229,757,0,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Friuli Venezia Giulia,665,1277,69,175,0,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Lazio,2892,6421,313,943,193,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Liguria,689,1759,62,216,12,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Lombardia,3651,11439,462,1239,291,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Marche,594,1176,73,221,40,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Molise,55,221,9,36,0,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
P.A. Bolzano,212,478,23,77,2,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
P.A. Trento,320,604,44,90,15,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Piemonte,2605,5824,172,628,99,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Puglia,1406,3437,165,458,80,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Sardegna,532,1694,47,180,27,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Sicilia,1371,4161,208,812,196,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Toscana,738,5033,140,561,4,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Umbria,275,765,50,130,2,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Valle d'Aosta,43,239,2,20,12,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Veneto,2551,6000,336,1000,0,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
Italia,23525,64037,2579,8592,1047,Dati della Protezione Civile del 13 Gennaio 2021 ore 20:06
