Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,415,1476,42,189,0,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Basilicata,83,414,2,88,13,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Calabria,283,913,19,152,25,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Campania,1470,4445,101,620,36,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Emilia-Romagna,2293,6126,220,757,0,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Friuli Venezia Giulia,668,1277,64,175,0,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Lazio,2544,6421,283,943,193,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Liguria,617,1779,65,216,12,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Lombardia,3530,10816,392,1194,336,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Marche,545,1175,73,233,40,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Molise,51,221,7,36,0,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
P.A. Bolzano,225,542,30,100,0,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
P.A. Trento,216,604,36,90,15,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Piemonte,2307,5824,163,628,99,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Puglia,1403,3459,180,460,80,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Sardegna,468,1659,44,202,35,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Sicilia,1435,4161,229,818,196,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Toscana,682,5033,103,561,4,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Umbria,334,782,50,130,2,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Valle d'Aosta,44,227,4,20,12,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Veneto,1742,6000,265,1000,0,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
Italia,21355,63354,2372,8612,1098,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05
