Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,84,1324,11,181,14,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Basilicata,21,362,2,88,13,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Calabria,111,967,12,174,3,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Campania,298,3519,24,520,219,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Emilia-Romagna,468,7920,49,889,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Friuli Venezia Giulia,194,1277,25,175,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Lazio,611,6421,85,943,243,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Liguria,100,1707,13,217,12,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Lombardia,623,6449,57,1530,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Marche,67,966,21,238,56,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Molise,7,176,1,39,26,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
P.A. Bolzano,76,500,9,100,20,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
P.A. Trento,32,517,7,90,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Piemonte,310,5824,29,628,99,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Puglia,149,2722,16,482,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Sardegna,44,1602,10,204,16,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Sicilia,332,3614,38,859,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Toscana,263,5033,38,570,35,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Umbria,37,662,7,84,43,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Valle d'Aosta,8,83,1,33,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Veneto,310,6000,57,1000,0,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
Italia,4145,57645,512,9044,799,Dati della Protezione Civile del 19 Novembre 2021 ore 18:56
