Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,246,1369,24,185,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Basilicata,122,458,10,88,13,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Calabria,402,992,28,156,25,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Campania,1307,4304,116,620,36,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Emilia-Romagna,1239,6538,178,760,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Friuli Venezia Giulia,120,1277,18,175,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Lazio,1732,6421,244,943,193,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Liguria,350,1820,49,226,12,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Lombardia,2441,9834,448,1416,114,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Marche,301,1230,51,210,54,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Molise,24,221,4,39,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
P.A. Bolzano,25,434,6,100,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
P.A. Trento,48,517,20,90,15,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Piemonte,1599,5824,145,628,99,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Puglia,1315,3768,161,586,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Sardegna,254,1602,38,216,33,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Sicilia,919,3856,125,845,196,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Toscana,1014,5033,188,599,16,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Umbria,133,662,22,116,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Valle d'Aosta,19,227,7,30,6,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Veneto,670,6000,110,1000,0,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
Italia,14280,62387,1992,9028,812,Dati della Protezione Civile del 12 Maggio 2021 ore 17:56
