Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,91,1324,7,181,14,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Basilicata,14,364,3,88,13,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Calabria,115,967,13,174,3,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Campania,309,3528,21,520,215,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Emilia-Romagna,574,7920,63,889,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Friuli Venezia Giulia,249,1277,28,175,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Lazio,684,6421,89,943,243,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Liguria,132,1711,17,217,12,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Lombardia,740,6581,74,1530,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Marche,72,966,23,238,57,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Molise,10,176,1,39,26,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
P.A. Bolzano,81,500,8,100,20,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
P.A. Trento,46,517,6,90,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Piemonte,332,5824,31,628,99,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Puglia,143,2722,19,482,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Sardegna,47,1602,13,204,16,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Sicilia,335,3585,41,869,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Toscana,253,5033,48,570,33,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Umbria,49,662,7,84,43,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Valle d'Aosta,13,99,2,33,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Veneto,400,6000,74,1000,0,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
Italia,4689,57779,588,9054,794,Dati della Protezione Civile del 25 Novembre 2021 ore 18:19
