Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,212,40025,10660,816,485,5%,442,34,-0.2&,43,3.29,-4.4%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Basilicata,59,12684,6941,1246,86,1%,80,14,3.9&,6,1.08,50%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Calabria,258,30091,9968,518,323,3%,297,15,-2&,26,1.35,-3.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Campania,1215,210697,71178,1230,1540,2%,1440,25,-0.6&,100,1.73,0%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Emilia-Romagna,1320,206578,52037,1165,2674,5%,2456,55,-1.4&,218,4.88,-5.2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Friuli Venezia Giulia,657,62702,12180,1005,739,6%,680,56,-1.9&,59,4.87,1.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Lazio,1303,194199,72685,1239,2933,4%,2653,45,-3&,280,4.77,-2.8%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Liguria,243,66789,4603,298,697,15%,635,41,-1.2&,62,4.02,5.1%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Lombardia,2234,520395,53055,525,4055,8%,3644,36,-0.2&,411,4.07,-4%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Marche,500,51544,8074,532,638,8%,555,37,-3.1&,83,5.47,-1.2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Molise,34,7692,1045,346,64,6%,56,19,-1.8&,8,2.65,-11.1%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
P.A. Bolzano,566,35127,12823,2410,254,2%,226,42,3.7&,28,5.26,-6.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
P.A. Trento,164,25714,2006,370,279,14%,236,43,-7.5&,43,7.92,2.4%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Piemonte,761,215278,13593,313,2578,19%,2419,56,-1.9&,159,3.66,-3.6%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Puglia,1275,113115,54784,1367,1497,3%,1346,34,-0.3&,151,3.77,2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Sardegna,238,36473,17116,1050,517,3%,466,29,-4.5&,51,3.13,-3.8%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Sicilia,1230,126364,46898,944,1657,4%,1436,29,-1.6&,221,4.45,2.8%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Toscana,503,129384,8303,223,775,9%,659,18,-5.3&,116,3.12,2.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Umbria,286,33185,4721,536,332,7%,286,32,1.1&,46,5.23,0%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Valle d'Aosta,17,7696,341,272,44,13%,42,33,-8.7&,2,1.59,0%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Veneto,1003,302489,53557,1091,2296,4%,1991,41,-5&,305,6.21,-3.2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Italia,14078,2428221,516568,857,24463,5%,22045,37,-1.9&,2418,4.01,-1.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
