Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,19,74.712,1.025,79,29,3%,28,2,-970%,1,008,-5000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Basilicata,8,26.892,856,155,25,3%,25,5,-740%,0,000,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Calabria,39,68.832,5.932,313,79,1%,72,4,-770%,7,037,-2220%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Campania,77,423.805,9.381,164,260,3%,240,4,-480%,20,035,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Emilia-Romagna,57,386.569,3.979,89,217,5%,188,4,-410%,29,065,-330%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Friuli Venezia Giulia,20,106.886,235,19,13,6%,13,1,3000%,0,000,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Lazio,91,345.644,3.614,63,288,8%,224,4,-1180%,64,111,-1350%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Liguria,6,103.388,201,13,30,15%,22,1,480%,8,052,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Lombardia,134,841.318,12.548,125,361,3%,298,3,-720%,63,063,-310%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Marche,13,103.596,1.539,102,30,2%,24,2,-1110%,6,040,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Molise,4,13.695,89,30,8,9%,8,3,000%,0,000,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
P.A. Bolzano,5,73.279,189,35,8,4%,4,1,-3330%,4,075,3330%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
P.A. Trento,6,45.754,95,17,11,12%,8,1,000%,3,055,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Piemonte,35,362.781,1.201,28,211,18%,195,5,-350%,16,037,-590%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Puglia,68,253.147,4.501,114,167,4%,150,4,-910%,17,043,630%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Sardegna,11,57.173,2.360,146,44,2%,40,2,-480%,4,025,-2000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Sicilia,67,231.149,4.431,91,198,4%,175,4,-540%,23,047,-1480%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Toscana,42,244.099,2.446,66,132,5%,105,3,-710%,27,073,-690%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Umbria,11,56.817,806,93,21,3%,18,2,-1430%,3,034,5000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Valle d'Aosta,5,11.683,37,30,1,3%,1,1,000%,0,000,000%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Veneto,35,425.232,4.770,98,72,2%,61,1,340%,11,023,-830%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
Italia,753,4.256.451,60.235,101,2.205,4%,1.899,3,-630%,306,051,-670%,Dati della Protezione Civile del 25 Giugno 2021 ore 19:47
