Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,399,1476,40,189,0,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Basilicata,74,413,2,88,13,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Calabria,273,913,21,152,25,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Campania,1474,4449,98,620,36,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Emilia-Romagna,2242,6126,209,757,0,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Friuli Venezia Giulia,619,1277,59,175,0,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Lazio,2458,6421,289,943,193,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Liguria,588,1740,67,216,12,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Lombardia,3537,10661,371,1199,331,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Marche,551,1175,70,233,40,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Molise,48,221,9,36,0,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
P.A. Bolzano,216,562,30,100,0,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
P.A. Trento,191,604,34,90,15,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Piemonte,2194,5824,151,628,99,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Puglia,1394,3459,173,460,80,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Sardegna,465,1659,43,202,35,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Sicilia,1405,4161,215,818,196,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Toscana,672,5033,100,562,4,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Umbria,338,782,54,130,2,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Valle d'Aosta,41,227,4,20,12,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Veneto,1599,6000,249,1000,0,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
Italia,20778,63183,2288,8618,1093,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59
