Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,20,74.732,1.007,78,26,3%,25,2,-1070%,1,008,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Basilicata,19,26.911,831,150,22,3%,22,4,-1200%,0,000,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Calabria,37,68.869,5.659,299,72,1%,65,3,-970%,7,037,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Campania,127,423.932,9.156,160,258,3%,236,4,-170%,22,039,1000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Emilia-Romagna,65,386.634,3.835,86,212,6%,185,4,-160%,27,060,-690%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Friuli Venezia Giulia,19,106.905,223,18,14,6%,14,1,770%,0,000,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Lazio,79,345.723,3.498,61,254,7%,194,3,-1340%,60,104,-630%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Liguria,8,103.396,180,12,23,13%,15,1,-3180%,8,052,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Lombardia,115,841.433,11.835,118,333,3%,269,3,-970%,64,064,160%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Marche,5,103.601,1.465,97,29,2%,23,2,-420%,6,040,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Molise,4,13.699,89,30,8,9%,8,3,000%,0,000,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
P.A. Bolzano,8,73.287,185,35,10,5%,6,1,5000%,4,075,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
P.A. Trento,3,45.757,90,17,9,10%,7,1,-1250%,2,037,-3330%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Piemonte,37,362.818,1.104,26,197,18%,180,4,-770%,17,039,630%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Puglia,58,253.205,3.881,98,161,4%,146,4,-270%,15,038,-1180%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Sardegna,19,57.192,2.356,146,40,2%,37,2,-750%,3,019,-2500%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Sicilia,111,231.260,4.372,90,186,4%,166,3,-510%,20,041,-1300%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Toscana,52,244.151,2.418,65,124,5%,96,3,-860%,28,076,370%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Umbria,14,56.831,805,93,20,2%,17,2,-560%,3,034,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Valle d'Aosta,0,11.683,37,30,1,3%,1,1,000%,0,000,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Veneto,38,425.270,4.706,96,70,1%,59,1,-330%,11,023,000%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
Italia,838,4.257.289,57.732,97,2.069,4%,1.771,3,-670%,298,050,-260%,Dati della Protezione Civile del 26 Giugno 2021 ore 21:00
