Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,86,33620,12248,938,575,5%,534,41,-3.8&,41,3.14,-4.7%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Basilicata,70,10124,5932,1065,101,2%,93,17,2.2&,8,1.44,0%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Calabria,232,21493,8471,440,315,4%,292,15,-2.7&,23,1.19,4.5%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Campania,791,182050,81259,1404,1647,2%,1529,26,-2.7&,118,2.04,-1.7%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Emilia-Romagna,1162,158345,59746,1337,3101,5%,2891,65,-0.8&,210,4.7,3.4%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Friuli Venezia Giulia,549,45984,13216,1091,655,5%,598,49,-1.5&,57,4.71,1.8%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Lazio,1288,151511,75949,1295,3012,4%,2720,46,0&,292,4.98,-4.9%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Liguria,216,57970,6468,419,765,12%,700,45,1.7&,65,4.21,-7.1%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Lombardia,2278,462446,61144,605,4830,8%,4290,42,1.4&,540,5.34,-3.7%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Marche,363,37794,9497,625,482,5%,421,28,-0.5&,61,4.02,-3.2%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Molise,11,6143,2495,825,64,3%,56,19,-5.1&,8,2.65,-11.1%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
P.A. Bolzano,102,28267,9355,1758,199,2%,176,33,-1.7&,23,4.32,4.5%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
P.A. Trento,136,20290,2003,369,413,21%,364,67,-4.7&,49,9.03,0%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Piemonte,542,190510,36909,850,3559,10%,3331,77,-2.3&,228,5.25,-0.9%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Puglia,876,82263,53292,1330,1588,3%,1421,35,-0.7&,167,4.17,1.8%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Sardegna,184,28867,15879,974,574,4%,526,32,-3&,48,2.94,0%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Sicilia,894,86092,33492,674,1235,4%,1059,21,-2.5&,176,3.54,-2.8%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Toscana,309,116544,11837,318,1116,9%,941,25,-2.5&,175,4.7,-5.4%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Umbria,114,27396,3729,424,288,8%,244,28,-5.4&,44,5,7.3%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Valle d'Aosta,33,7073,456,363,95,21%,90,72,7.1&,5,3.98,25%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Veneto,3082,222588,102578,2090,3021,3%,2672,54,0.9&,349,7.11,1.2%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Italia,13318,1977370,605955,1006,27635,5%,24948,41,-0.8&,2687,4.46,-1.6%,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
