Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,557,1491,42,189,0,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Basilicata,93,458,9,88,13,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Calabria,287,928,22,152,25,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Campania,1554,4608,119,620,36,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Emilia-Romagna,2852,5594,201,757,0,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Friuli Venezia Giulia,602,1277,55,175,0,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Lazio,2784,6421,306,943,194,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Liguria,695,1659,70,217,12,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Lombardia,4341,12537,583,1279,251,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Marche,416,1208,64,191,63,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Molise,58,221,11,34,0,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
P.A. Bolzano,170,499,20,77,2,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
P.A. Trento,381,604,49,90,15,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Piemonte,3389,5824,221,628,99,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Puglia,1436,3469,169,456,84,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Sardegna,548,1653,50,180,27,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Sicilia,1076,4162,178,814,196,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Toscana,963,5033,187,576,3,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Umbria,251,758,44,130,2,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Valle d'Aosta,78,176,4,33,4,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Veneto,2627,6000,339,1000,0,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
Italia,25158,64580,2743,8629,1026,Dati della Protezione Civile del 20 Dicembre 2020 ore 20:06
