Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,535,1382,28,181,14,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Basilicata,92,352,6,79,13,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Calabria,371,1088,25,202,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Campania,1312,4476,79,812,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Emilia-Romagna,2242,9001,137,889,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Friuli Venezia Giulia,429,1277,40,175,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Lazio,2042,6421,190,943,243,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Liguria,664,1824,32,221,12,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Lombardia,2393,10457,192,1810,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Marche,316,1027,51,256,49,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Molise,45,176,5,39,26,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
P.A. Bolzano,133,500,9,100,20,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
P.A. Trento,154,517,14,90,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Piemonte,1877,6794,102,628,99,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Puglia,747,2911,67,503,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Sardegna,404,1602,30,204,16,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Sicilia,1369,3816,115,858,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Toscana,1252,5033,96,570,8,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Umbria,205,662,9,86,41,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Valle d'Aosta,52,163,3,34,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Veneto,1298,6000,120,1000,0,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
Italia,17932,65479,1350,9680,541,Dati della Protezione Civile del 09 Febbraio 2022 ore 19:03
