Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,69,40955,10196,781,470,5%,426,33,-0.9&,44,3.37,0%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Basilicata,71,12913,6928,1244,92,1%,86,15,6.2&,6,1.08,50%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Calabria,207,31279,10103,525,300,3%,278,14,-0.4&,22,1.14,4.8%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Campania,754,214776,63073,1090,1560,2%,1455,25,0.5&,105,1.81,-6.3%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Emilia-Romagna,1164,211606,51289,1148,2644,5%,2422,54,1.6&,222,4.97,1.4%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Friuli Venezia Giulia,181,64519,11573,955,748,6%,686,57,0.1&,62,5.12,1.6%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Lazio,874,198567,67661,1154,2847,4%,2560,44,0.6&,287,4.89,0.3%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Liguria,164,67857,4538,294,689,15%,622,40,3.2&,67,4.34,4.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Lombardia,1484,526758,49977,495,3819,8%,3412,34,-0.5&,407,4.03,0.5%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Marche,200,53103,8664,571,622,7%,549,36,0.5&,73,4.81,-1.4%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Molise,40,7939,1063,352,59,6%,52,17,4&,7,2.32,-22.2%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
P.A. Bolzano,200,36801,13575,2551,267,2%,239,45,5.8&,28,5.26,12%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
P.A. Trento,32,26249,2068,381,256,12%,215,40,3.9&,41,7.55,-4.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Piemonte,600,218277,13218,304,2527,19%,2364,54,0.8&,163,3.75,4.5%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Puglia,401,116511,54382,1357,1549,3%,1380,34,-0.8&,169,4.22,3%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Sardegna,207,37258,17003,1043,520,3%,472,29,1.7&,48,2.94,6.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Sicilia,885,130637,48001,966,1666,3%,1439,29,0.6&,227,4.57,0%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Toscana,422,131281,8460,227,770,9%,661,18,3.9&,109,2.93,2.8%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Umbria,66,34135,5032,572,347,7%,300,34,3.1&,47,5.34,0%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Valle d'Aosta,8,7745,307,245,48,16%,45,36,0&,3,2.39,50%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Veneto,533,306206,44519,907,2045,5%,1761,36,-1.9&,284,5.79,-0.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
Italia,8562,2475372,491630,816,23845,5%,21424,36,0.5&,2421,4.02,0.9%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44
