Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,86,1324,5,177,23,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Basilicata,42,360,2,88,13,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Calabria,171,953,15,172,3,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Campania,363,3849,26,548,195,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Emilia-Romagna,388,7920,48,889,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Friuli Venezia Giulia,53,1277,12,175,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Lazio,450,6421,66,943,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Liguria,72,1695,10,218,12,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Lombardia,348,6369,50,1530,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Marche,68,971,19,212,61,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Molise,9,176,0,39,26,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
P.A. Bolzano,21,500,4,100,20,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
P.A. Trento,18,517,0,90,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Piemonte,158,5824,20,628,99,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Puglia,232,2741,24,482,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Sardegna,228,1602,23,204,16,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Sicilia,849,3691,118,869,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Toscana,405,5033,56,570,33,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Umbria,46,684,5,91,36,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Valle d'Aosta,0,83,0,33,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Veneto,198,6000,52,1000,0,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
Italia,4205,57990,555,9058,537,Dati della Protezione Civile del 02 Settembre 2021 ore 18:40
