Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,480,1491,36,189,0,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Basilicata,95,423,4,88,13,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Calabria,250,908,21,152,25,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Campania,1395,4498,100,620,36,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Emilia-Romagna,2691,6126,245,757,0,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Friuli Venezia Giulia,671,1277,64,175,0,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Lazio,2871,6421,309,943,194,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Liguria,717,1735,67,216,12,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Lombardia,3436,11613,466,1213,317,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Marche,532,1177,68,216,40,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Molise,53,221,8,34,0,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
P.A. Bolzano,208,455,24,77,2,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
P.A. Trento,355,604,46,90,15,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Piemonte,2757,5824,176,628,99,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Puglia,1362,3429,163,458,80,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Sardegna,504,1694,50,180,27,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Sicilia,1246,4167,200,799,201,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Toscana,807,5033,139,557,3,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Umbria,280,765,43,130,2,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Valle d'Aosta,54,244,1,20,12,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Veneto,2549,6000,357,1000,0,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
Italia,23313,64105,2587,8542,1078,Dati della Protezione Civile del 08 Gennaio 2021 ore 19:57
