Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,104,77.460,1.970,152,55,3%,50,4,420%,5,039,6670%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Basilicata,66,28.040,1.074,194,32,3%,31,6,1480%,1,018,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Calabria,237,73.454,3.457,183,111,3%,104,5,200%,7,037,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Campania,711,437.773,8.958,157,333,4%,317,6,460%,16,028,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Emilia-Romagna,765,402.601,12.982,291,354,3%,316,7,-160%,38,085,560%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Friuli Venezia Giulia,99,109.251,914,76,33,4%,29,2,2080%,4,033,-2000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Lazio,583,366.553,18.064,314,521,3%,454,8,-260%,67,116,-150%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Liguria,187,107.268,1.777,117,78,4%,66,4,000%,12,079,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Lombardia,676,861.569,13.220,132,353,3%,317,3,600%,36,036,910%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Marche,199,107.844,2.924,193,40,1%,34,2,970%,6,040,-1430%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Molise,6,14.047,153,51,9,6%,8,3,3330%,1,033,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
P.A. Bolzano,35,74.238,531,100,13,2%,12,2,-2500%,1,019,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
P.A. Trento,39,46.850,418,77,17,4%,16,3,670%,1,018,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Piemonte,280,368.843,3.343,78,117,3%,109,3,-680%,8,019,1430%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Puglia,334,259.498,4.107,104,149,4%,128,3,240%,21,053,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Sardegna,471,66.763,7.253,450,152,2%,131,8,230%,21,130,-870%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Sicilia,1.013,254.525,17.487,359,596,3%,531,11,640%,65,133,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Toscana,683,261.251,12.189,330,301,2%,268,7,190%,33,089,310%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Umbria,92,59.995,2.240,257,34,2%,32,4,000%,2,023,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Valle d'Aosta,8,11.893,119,95,4,3%,4,3,-2000%,0,000,000%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Veneto,600,445.292,13.286,272,171,1%,144,3,290%,27,055,-360%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Italia,7.188,4.435.008,126.466,212,3.473,3%,3.101,5,220%,372,062,080%,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
