Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,192,32275,14882,1140,694,5%,630,48,1.3&,64,4.9,1.6%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Basilicata,66,9491,6147,1104,126,2%,114,20,-0.9&,12,2.15,-20%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Calabria,166,19962,9322,484,367,4%,346,18,2.1&,21,1.09,-8.7%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Campania,1088,175053,92670,1602,1926,2%,1796,31,-0.4&,130,2.25,-3%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Emilia-Romagna,1574,146325,64986,1455,3053,5%,2831,63,0.4&,222,4.97,0.9%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Friuli Venezia Giulia,402,40491,14088,1163,718,5%,660,54,0.8&,58,4.79,-3.3%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Lazio,1315,140991,85849,1464,3285,4%,2938,50,0&,347,5.92,1.8%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Liguria,223,55841,8280,537,853,10%,780,51,1.6&,73,4.73,-2.7%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Lombardia,945,444607,78321,775,5738,7%,5053,50,-2.1&,685,6.78,-4.1%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Marche,174,34972,12802,843,552,4%,469,31,-1.5&,83,5.47,2.5%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Molise,40,5721,2696,892,69,3%,61,20,8.9&,8,2.65,14.3%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
P.A. Bolzano,68,26852,10612,1994,247,2%,221,42,0&,26,4.89,0%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
P.A. Trento,114,18469,2554,471,476,19%,423,78,2.4&,53,9.77,10.4%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Piemonte,528,186066,53336,1229,4134,8%,3856,89,0.5&,278,6.4,-4.5%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Puglia,656,73628,52032,1298,1735,3%,1551,39,0.3&,184,4.59,-3.7%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Sardegna,228,26506,15361,942,637,4%,580,36,-1.5&,57,3.5,-3.4%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Sicilia,914,79104,35841,721,1426,4%,1237,25,0.9&,189,3.8,-4.5%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Toscana,445,112789,17479,470,1403,8%,1193,32,1.1&,210,5.64,-4.1%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Umbria,49,26239,4735,538,347,7%,306,35,4.1&,41,4.66,-8.9%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Valle d'Aosta,14,6885,588,469,83,14%,74,59,0&,9,7.17,12.5%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Veneto,2829,193470,92528,1885,2991,3%,2646,54,1.5&,345,7.03,1.5%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
Italia,12030,1855737,675109,1121,30860,5%,27765,46,0.1&,3095,5.14,-2%,Dati della Protezione Civile del 14 Dicembre 2020 ore 19:07
