Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,501,1382,26,181,14,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Basilicata,93,369,7,79,13,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Calabria,353,1118,25,202,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Campania,1217,4479,74,812,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Emilia-Romagna,2087,9001,126,889,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Friuli Venezia Giulia,388,1277,31,175,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Lazio,1941,6421,179,943,243,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Liguria,595,1824,29,221,12,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Lombardia,2048,10457,173,1810,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Marche,298,1027,46,256,49,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Molise,40,176,4,39,26,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
P.A. Bolzano,105,500,8,100,20,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
P.A. Trento,125,517,14,90,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Piemonte,1653,6794,90,628,99,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Puglia,752,2911,65,503,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Sardegna,409,1602,28,204,16,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Sicilia,1308,3799,115,858,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Toscana,1155,5033,90,570,8,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Umbria,192,662,8,86,41,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Valle d'Aosta,40,163,4,34,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Veneto,1010,6000,81,1000,0,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
Italia,16310,65512,1223,9680,541,Dati della Protezione Civile del 12 Febbraio 2022 ore 23:07
