Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,402,1324,36,181,14,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Basilicata,90,354,4,79,14,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Calabria,430,1088,34,202,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Campania,1348,4506,101,786,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Emilia-Romagna,2467,9001,142,889,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Friuli Venezia Giulia,427,1277,36,175,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Lazio,1945,6421,206,943,243,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Liguria,736,1824,41,221,12,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Lombardia,3461,10457,274,1810,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Marche,293,1012,53,256,49,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Molise,18,176,1,39,26,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
P.A. Bolzano,102,500,19,100,20,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
P.A. Trento,137,517,23,90,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Piemonte,2085,6794,142,628,99,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Puglia,699,2869,69,499,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Sardegna,275,1602,30,204,16,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Sicilia,1413,3797,160,846,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Toscana,1353,5033,122,570,8,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Umbria,189,662,10,86,41,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Valle d'Aosta,75,143,7,33,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Veneto,1497,6000,166,1000,0,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
Italia,19442,65357,1676,9637,542,Dati della Protezione Civile del 22 Gennaio 2022 ore 23:05
