Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia30,sopraSoglia
Abruzzo,567,1264,57,178,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF1,2,32.022472,◼
Basilicata,141,429,23,91,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF5,2,25.274725,
Calabria,338,813,27,146,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF6,2,18.493151,
Campania,2153,4414,183,590,66,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF3,2,31.016949,◼
Emilia-Romagna,2164,4199,225,661,30,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH5,2,34.039334,◼
Friuli Venezia Giulia,366,1277,47,175,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH4,2,26.857143,
Lazio,3018,6223,260,962,253,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI4,2,27.027027,
Liguria,1372,1889,110,216,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC3,2,50.925926,◼
Lombardia,7319,14651,801,1355,175,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC4,2,59.114391,◼
Marche,559,963,74,164,37,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI3,2,45.121951,◼
Molise,55,216,7,34,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF2,2,20.588235,
P.A. Bolzano,453,468,41,68,9,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH1,2,60.294118,◼
P.A. Trento,353,517,30,90,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH2,2,33.333333,◼
Piemonte,4890,5442,353,627,100,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC1,2,56.299841,◼
Puglia,1249,2867,158,437,76,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITF4,2,36.155606,◼
Sardegna,472,1416,57,172,33,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITG2,2,33.139535,◼
Sicilia,1450,4142,210,728,200,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITG1,2,28.846154,
Toscana,1656,4262,265,575,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI1,2,46.086957,◼
Umbria,359,729,68,117,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITI2,2,58.119658,◼
Valle d'Aosta,149,189,15,37,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITC2,2,40.540541,◼
Veneto,1831,6000,219,1000,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13,ITH3,2,21.900000,
Abruzzo,590,1252,66,178,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF1,2,37.078652,◼
Basilicata,150,426,30,91,7,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF5,2,32.967033,◼
Calabria,353,813,53,156,19,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF6,2,33.974359,◼
Campania,2236,4722,201,590,66,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF3,2,34.067797,◼
Emilia-Romagna,2451,5175,247,703,30,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH5,2,35.135135,◼
Friuli Venezia Giulia,454,1277,44,175,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH4,2,25.142857,
Lazio,3066,6223,308,962,253,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI4,2,32.016632,◼
Liguria,1393,1895,117,221,15,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC3,2,52.941176,◼
Lombardia,8151,15404,894,1390,140,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC4,2,64.316547,◼
Marche,525,1016,78,174,72,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI3,2,44.827586,◼
Molise,60,221,9,34,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF2,2,26.470588,
P.A. Bolzano,482,505,44,77,2,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH1,2,57.142857,◼
P.A. Trento,388,600,35,90,15,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH2,2,38.888889,◼
Piemonte,5150,5612,384,628,99,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC1,2,61.146497,◼
Puglia,1316,3081,181,440,76,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITF4,2,41.136364,◼
Sardegna,512,1543,64,175,31,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITG2,2,36.571429,◼
Sicilia,1505,4147,227,751,200,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITG1,2,30.226365,◼
Toscana,1792,4361,277,592,7,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI1,2,46.790541,◼
Umbria,368,729,70,128,4,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITI2,2,54.687500,◼
Valle d'Aosta,152,209,17,37,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITC2,2,45.945946,◼
Veneto,1980,6000,266,1000,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,2020-11-17,ITH3,2,26.600000,
Abruzzo,621,1247,65,178,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF1,2,36.516854,◼
Basilicata,144,426,28,92,15,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF5,2,30.434783,◼
Calabria,388,807,46,139,36,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF6,2,33.093525,◼
Campania,2259,4722,200,590,66,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF3,2,33.898305,◼
Emilia-Romagna,2449,5253,244,703,30,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH5,2,34.708393,◼
Friuli Venezia Giulia,470,1277,49,175,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH4,2,28.000000,
Lazio,3056,6223,318,962,253,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI4,2,33.056133,◼
Liguria,1371,1895,118,222,14,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC3,2,53.153153,◼
Lombardia,8323,15362,903,1392,138,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC4,2,64.870690,◼
Marche,527,1108,79,174,72,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI3,2,45.402299,◼
Molise,58,221,7,34,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF2,2,20.588235,
P.A. Bolzano,481,509,39,77,2,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH1,2,50.649351,◼
P.A. Trento,398,600,38,90,15,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH2,2,42.222222,◼
Piemonte,5208,5723,388,628,99,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC1,2,61.783439,◼
Puglia,1320,3109,198,441,76,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITF4,2,44.897959,◼
Sardegna,505,1543,63,175,33,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITG2,2,36.000000,◼
Sicilia,1528,4143,240,752,200,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITG1,2,31.914894,◼
Toscana,1805,5033,282,596,7,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI1,2,47.315436,◼
Umbria,368,729,74,128,4,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITI2,2,57.812500,◼
Valle d'Aosta,146,209,17,37,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITC2,2,45.945946,◼
Veneto,2079,6000,274,1000,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,2020-11-18,ITH3,2,27.400000,
Abruzzo,658,1337,74,181,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF1,2,40.883978,◼
Basilicata,147,427,28,91,14,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF5,2,30.769231,◼
Calabria,395,943,47,145,13,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,2020-11-19,ITF6,2,32.413793,◼
