Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,668,1495,83,215,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Basilicata,166,426,14,88,13,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Calabria,305,917,37,152,25,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Campania,1575,4218,161,620,36,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Emilia-Romagna,3519,6490,401,760,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Friuli Venezia Giulia,564,1277,80,175,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Lazio,2484,6421,309,943,193,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Liguria,585,1789,65,222,12,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Lombardia,6891,13387,791,1416,114,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Marche,755,1176,140,243,30,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Molise,97,221,16,39,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
P.A. Bolzano,121,494,32,100,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
P.A. Trento,203,594,52,90,15,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Piemonte,3361,5824,332,628,99,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Puglia,1668,3651,209,569,80,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Sardegna,175,1602,22,208,35,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Sicilia,731,3879,122,834,196,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Toscana,1424,5033,240,599,20,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Umbria,372,860,74,139,2,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Valle d'Aosta,25,227,2,20,12,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Veneto,1372,6000,205,1000,0,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
Italia,27061,65981,3387,9060,882,Dati della Protezione Civile del 20 Marzo 2021 ore 18:58
