Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,672,1495,88,215,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Basilicata,167,426,13,88,13,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Calabria,300,917,36,152,25,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Campania,1569,4216,155,620,36,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Emilia-Romagna,3549,6490,386,760,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Friuli Venezia Giulia,547,1277,77,175,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Lazio,2439,6421,308,943,193,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Liguria,578,1785,63,222,12,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Lombardia,6796,13371,788,1416,114,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Marche,749,1176,141,239,34,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Molise,93,221,14,39,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
P.A. Bolzano,122,500,32,100,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
P.A. Trento,203,594,55,90,15,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Piemonte,3332,5824,326,628,99,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Puglia,1630,3651,214,569,80,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Sardegna,176,1602,25,208,35,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Sicilia,726,3880,121,834,196,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Toscana,1448,5033,246,598,20,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Umbria,385,860,75,139,2,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Valle d'Aosta,24,227,2,20,12,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Veneto,1353,6000,199,1000,0,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
Italia,26858,65966,3364,9055,886,Dati della Protezione Civile del 19 Marzo 2021 ore 17:53
