Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,239,91.194,5.771,449,135,2%,122,9,000%,13,101,830%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Basilicata,171,32.427,1.489,272,25,2%,24,4,2000%,1,018,000%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Calabria,459,97.767,6.887,367,210,3%,190,10,860%,20,107,-480%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Campania,1.304,507.589,21.947,386,409,2%,381,7,640%,28,049,-670%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Emilia-Romagna,1.845,478.249,34.848,784,1.093,3%,1.001,23,-030%,92,207,450%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Friuli Venezia Giulia,458,139.869,8.094,675,341,4%,313,26,230%,28,234,000%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Lazio,1.921,446.275,31.092,543,925,3%,816,14,-060%,109,191,-440%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Liguria,612,129.703,6.925,459,323,5%,296,20,-100%,27,179,000%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Lombardia,3.830,970.686,50.721,509,1.331,3%,1.185,12,440%,146,146,210%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Marche,518,129.922,6.219,414,163,3%,127,8,240%,36,240,290%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Molise,3,15.382,186,63,13,7%,9,3,1250%,4,135,3330%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
P.A. Bolzano,471,94.446,6.287,1.178,108,2%,86,16,-1130%,22,412,480%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
P.A. Trento,295,54.829,2.725,500,120,4%,102,19,1330%,18,330,000%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Piemonte,1.853,416.794,19.666,460,650,3%,597,14,310%,53,124,820%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Puglia,401,284.125,5.564,142,156,3%,133,3,470%,23,059,2110%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Sardegna,162,81.060,3.384,212,94,3%,88,6,-540%,6,038,-1430%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Sicilia,1.037,335.645,16.906,349,474,3%,426,9,700%,48,099,-770%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Toscana,662,311.207,13.295,362,359,3%,312,9,260%,47,128,-600%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Umbria,245,69.568,2.588,299,55,2%,48,6,210%,7,081,-1250%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Valle d'Aosta,103,13.944,780,630,23,3%,21,17,500%,2,161,000%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Veneto,4.088,558.205,52.020,1.072,1.019,2%,886,18,750%,133,274,390%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
Italia,20.677,5.258.886,297.394,502,8.026,3%,7.163,12,300%,863,146,080%,Dati della Protezione Civile del 14 Dicembre 2021 ore 19:19
