Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,686,95.670,8.305,646,149,2%,132,10,150%,17,132,1330%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Basilicata,254,33.882,2.454,448,42,2%,42,8,240%,0,000,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Calabria,705,103.670,10.015,533,283,3%,255,14,-040%,28,149,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Campania,4.541,531.478,34.003,599,489,1%,457,8,-130%,32,056,320%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Emilia-Romagna,3.067,502.188,49.607,1.116,1.226,2%,1.119,25,-020%,107,241,-270%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Friuli Venezia Giulia,826,147.439,8.553,713,300,4%,275,23,-210%,25,209,-380%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Lazio,3.475,470.649,45.454,795,1.047,2%,921,16,040%,126,220,330%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Liguria,1.459,139.516,9.232,611,472,5%,435,29,120%,37,245,1560%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Lombardia,16.044,1.048.255,102.951,1.033,1.568,2%,1.400,14,-060%,168,169,370%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Marche,1.103,137.182,6.834,455,222,3%,184,12,-260%,38,253,-260%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Molise,74,15.706,418,141,15,4%,13,4,000%,2,067,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
P.A. Bolzano,370,97.864,5.379,1.008,101,2%,81,15,-120%,20,375,-480%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
P.A. Trento,403,57.706,3.589,659,118,3%,96,18,-300%,22,404,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Piemonte,4.609,444.259,35.623,834,980,3%,906,21,440%,74,173,1040%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Puglia,664,290.992,9.469,241,195,2%,168,4,120%,27,069,380%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Sardegna,470,83.886,4.729,296,142,3%,131,8,310%,11,069,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Sicilia,2.131,350.236,25.165,520,664,3%,591,12,400%,73,151,-390%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Toscana,3.337,327.770,24.354,664,484,2%,415,11,720%,69,188,450%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Umbria,1.229,74.632,6.438,744,76,1%,68,8,460%,8,092,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Valle d'Aosta,78,14.725,1.104,891,26,2%,25,20,1360%,1,081,000%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Veneto,5.074,599.939,66.998,1.381,1.251,2%,1.098,23,080%,153,315,-380%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
Italia,50.599,5.567.644,460.674,777,9.850,2%,8.812,15,100%,1.038,175,150%,Dati della Protezione Civile del 24 Dicembre 2021 ore 20:06
