Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,461,1476,49,189,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Basilicata,84,424,1,88,13,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Calabria,249,913,27,152,25,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Campania,1499,4459,108,620,36,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Emilia-Romagna,1956,6126,183,757,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Friuli Venezia Giulia,533,1277,63,175,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Lazio,2273,6421,270,943,193,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Liguria,609,1784,61,217,12,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Lombardia,3540,10388,354,1200,330,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Marche,531,1174,75,233,40,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Molise,66,221,12,39,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
P.A. Bolzano,242,564,34,100,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
P.A. Trento,131,594,28,90,15,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Piemonte,2007,5824,140,628,99,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Puglia,1427,3545,157,569,80,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Sardegna,394,1602,31,208,35,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Sicilia,1228,4050,177,832,196,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Toscana,643,5033,109,552,11,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Umbria,388,785,70,130,2,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Valle d'Aosta,24,227,3,20,12,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Veneto,1123,6000,158,1000,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
Italia,19408,62887,2110,8742,1099,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37
