Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,223,34098,11694,896,526,4%,491,38,-3&,35,2.68,-10.3%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Basilicata,155,10378,5943,1067,104,2%,96,17,5.5&,8,1.44,-11.1%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Calabria,244,22021,8359,434,305,4%,284,15,-4.4&,21,1.09,10.5%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Campania,1156,184273,80009,1383,1590,2%,1488,26,-1.7&,102,1.76,-4.7%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Emilia-Romagna,1692,161163,57299,1283,2919,5%,2718,61,-3&,201,4.5,-2.9%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Friuli Venezia Giulia,831,46715,12102,999,638,5%,582,48,-2.2&,56,4.62,0%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Lazio,1519,153976,75491,1287,2983,4%,2690,46,-1.8&,293,5,2.4%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Liguria,328,58526,5958,386,751,13%,687,45,-0.3&,64,4.15,0%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Lombardia,2656,467255,57908,573,4699,8%,4178,41,-1.5&,521,5.16,-2.8%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Marche,415,38707,9415,620,473,5%,409,27,-0.5&,64,4.21,4.9%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Molise,115,6285,2266,750,60,3%,53,18,0&,7,2.32,0%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
P.A. Bolzano,142,28540,9107,1712,174,2%,157,30,-7.6&,17,3.2,-10.5%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
P.A. Trento,238,20685,1746,322,375,21%,326,60,-5.8&,49,9.03,4.3%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Piemonte,1057,192500,34870,803,3357,10%,3144,72,-2.9&,213,4.91,-0.9%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Puglia,1458,84663,53131,1326,1592,3%,1422,35,0.4&,170,4.24,-1.2%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Sardegna,331,29467,16015,982,539,3%,498,31,-4&,41,2.51,-6.8%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Sicilia,853,87877,33380,672,1181,4%,1008,20,-1.9&,173,3.48,-1.7%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Toscana,563,117542,10969,295,1049,10%,888,24,-1.7&,161,4.32,-3%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Umbria,192,27745,3521,400,276,8%,238,27,-0.4&,38,4.32,-5%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Valle d'Aosta,35,7119,427,340,87,20%,83,66,-1.2&,4,3.19,0%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Veneto,3837,229782,104022,2120,2981,3%,2630,54,-1.1&,351,7.15,0.3%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
Italia,18040,2009317,593632,985,26659,4%,24070,40,-1.9&,2589,4.3,-1.3%,Dati della Protezione Civile del 24 Dicembre 2020 ore 19:04
