Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,109,1324,10,181,14,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Basilicata,14,362,0,88,13,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Calabria,124,967,16,181,3,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Campania,309,3528,24,520,219,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Emilia-Romagna,660,7920,69,889,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Friuli Venezia Giulia,291,1277,25,175,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Lazio,735,6421,97,943,243,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Liguria,139,1711,21,217,12,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Lombardia,817,6616,99,1530,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Marche,83,966,24,246,58,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Molise,12,176,1,39,26,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
P.A. Bolzano,93,500,12,100,20,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
P.A. Trento,46,517,7,90,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Piemonte,379,5824,34,628,99,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Puglia,137,2722,20,482,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Sardegna,67,1602,16,204,16,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Sicilia,321,3576,44,867,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Toscana,260,5033,51,570,33,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Umbria,52,662,10,88,39,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Valle d'Aosta,20,99,1,33,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Veneto,467,6000,88,1000,0,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
Italia,5135,57803,669,9071,795,Dati della Protezione Civile del 29 Novembre 2021 ore 18:31
