Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,349,1376,26,187,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Basilicata,163,440,9,88,13,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Calabria,439,990,40,155,25,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Campania,1480,4304,128,620,36,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Emilia-Romagna,1620,6538,213,760,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Friuli Venezia Giulia,210,1277,33,175,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Lazio,2185,6421,271,943,193,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Liguria,487,1832,62,226,12,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Lombardia,3263,10655,525,1416,114,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Marche,406,1215,69,210,54,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Molise,29,221,9,39,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
P.A. Bolzano,54,450,6,100,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
P.A. Trento,68,517,17,90,15,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Piemonte,1981,5824,188,628,99,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Puglia,1585,3768,197,586,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Sardegna,354,1602,47,216,33,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Sicilia,1152,3865,160,836,196,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Toscana,1266,5033,237,616,18,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Umbria,165,679,28,112,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Valle d'Aosta,42,227,9,30,6,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Veneto,878,6000,149,1000,0,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
Italia,18176,63234,2423,9033,814,Dati della Protezione Civile del 04 Maggio 2021 ore 17:59
