Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,432,1491,36,189,0,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Basilicata,89,432,4,88,13,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Calabria,257,915,17,152,25,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Campania,1357,4196,102,620,36,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Emilia-Romagna,2641,6026,230,757,0,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Friuli Venezia Giulia,641,1277,59,175,0,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Lazio,2808,6421,303,943,194,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Liguria,712,1774,63,218,12,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Lombardia,3617,12026,481,1253,277,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Marche,468,1158,62,216,40,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Molise,53,221,10,34,0,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
P.A. Bolzano,168,467,22,77,2,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
P.A. Trento,380,604,45,90,15,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Piemonte,2957,5824,192,628,99,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Puglia,1497,3471,128,458,84,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Sardegna,496,1653,44,180,27,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Sicilia,1085,4160,166,799,196,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Toscana,869,5033,160,568,3,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Umbria,256,780,44,130,2,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Valle d'Aosta,72,175,2,20,12,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Veneto,2711,6000,358,1000,0,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
Italia,23566,64104,2528,8595,1037,Dati della Protezione Civile del 30 Dicembre 2020 ore 20:33
