Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,154,1324,21,181,14,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Basilicata,51,358,1,79,13,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Calabria,293,1042,24,187,11,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Campania,516,3712,36,550,138,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Emilia-Romagna,1236,9001,107,889,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Friuli Venezia Giulia,284,1277,27,175,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Lazio,996,6421,135,943,243,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Liguria,505,1776,40,219,12,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Lombardia,1539,10457,187,1530,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Marche,203,980,42,252,51,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Molise,17,176,2,39,26,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
P.A. Bolzano,89,500,19,100,20,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
P.A. Trento,88,517,23,90,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Piemonte,1058,5824,89,628,99,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Puglia,180,2722,21,482,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Sardegna,136,1602,11,204,16,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Sicilia,657,3676,81,860,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Toscana,493,5033,76,570,27,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Umbria,93,662,9,86,41,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Valle d'Aosta,31,99,2,33,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Veneto,1104,6000,173,1000,0,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
Italia,9723,63159,1126,9097,711,Dati della Protezione Civile del 27 Dicembre 2021 ore 19:39
