Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,129,1382,1,181,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Basilicata,43,362,1,79,14,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Calabria,154,978,3,183,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Campania,290,3941,17,579,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Emilia-Romagna,680,9001,29,889,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Friuli Venezia Giulia,91,1277,3,175,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Lazio,472,6421,29,943,243,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Liguria,140,1628,4,218,12,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Lombardia,445,10457,21,1810,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Marche,57,983,4,230,49,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Molise,11,176,1,39,26,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
P.A. Bolzano,47,500,1,100,20,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
P.A. Trento,31,517,1,90,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Piemonte,239,6794,8,628,99,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Puglia,237,2903,11,503,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Sardegna,101,1602,7,204,16,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Sicilia,555,3553,26,795,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Toscana,206,5033,13,570,13,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Umbria,94,662,1,86,41,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Valle d'Aosta,9,85,1,13,21,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Veneto,179,6000,11,1000,0,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
Italia,4210,64255,193,9315,554,Dati della Protezione Civile del 13 Giugno 2022 ore 23:45
