Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,622,1473,82,204,0,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Basilicata,85,424,10,88,13,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Calabria,190,929,20,152,25,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Campania,1341,4154,130,620,36,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Emilia-Romagna,2255,6126,227,757,0,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Friuli Venezia Giulia,361,1277,61,175,0,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Lazio,1767,6421,213,943,193,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Liguria,500,1795,52,216,18,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Lombardia,4118,10563,426,1416,114,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Marche,582,1176,72,233,40,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Molise,95,221,17,39,0,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
P.A. Bolzano,218,546,33,100,0,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
P.A. Trento,185,584,39,90,15,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Piemonte,2015,5824,168,628,99,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Puglia,1228,3623,170,569,80,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Sardegna,215,1602,19,208,35,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Sicilia,725,3939,133,834,196,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Toscana,909,5033,168,576,24,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Umbria,436,852,77,141,2,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Valle d'Aosta,10,227,2,20,12,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Veneto,781,6000,112,1000,0,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
Italia,18638,62789,2231,9009,902,Dati della Protezione Civile del 28 Febbraio 2021 ore 20:01
