Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,256,38594,11180,856,493,4%,453,35,-3.2&,40,3.06,0%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Basilicata,90,12287,6805,1222,84,1%,80,14,-11.1&,4,0.72,0%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Calabria,286,28022,9667,502,313,3%,284,15,0&,29,1.51,16%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Campania,1294,203846,72753,1257,1469,2%,1365,24,-2.8&,104,1.8,-1.9%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Emilia-Romagna,1515,197086,55948,1252,2843,5%,2610,58,-2.6&,233,5.22,1.7%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Friuli Venezia Giulia,805,58592,12863,1062,736,6%,668,55,0.5&,68,5.61,-1.4%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Lazio,1816,185724,77980,1329,3109,4%,2814,48,-2.7&,295,5.03,-5.8%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Liguria,289,64960,5074,329,743,15%,678,44,-1.6&,65,4.21,4.8%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Lombardia,2587,508224,56100,555,4082,7%,3614,36,-1&,468,4.63,1.3%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Marche,506,48633,12193,803,659,5%,583,38,-1.9&,76,5.01,4.1%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Molise,107,7343,1147,379,65,6%,57,19,3.6&,8,2.65,-11.1%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
P.A. Bolzano,174,32186,11605,2181,235,2%,212,40,0&,23,4.32,0%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
P.A. Trento,272,24390,2078,383,358,17%,316,58,-1.3&,42,7.74,-4.5%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Piemonte,857,210338,14723,339,2747,19%,2575,59,-1.2&,172,3.96,0%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Puglia,1524,106102,55535,1386,1549,3%,1387,35,-1.4&,162,4.04,-1.8%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Sardegna,275,34944,17453,1070,577,3%,527,32,-0.9&,50,3.07,6.4%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Sicilia,1867,115391,44865,903,1602,4%,1397,28,1.9&,205,4.13,-1.4%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Toscana,424,126564,8685,233,855,10%,723,19,-2&,132,3.55,-5.7%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Umbria,210,31677,4489,510,328,7%,277,31,0.7&,51,5.79,2%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Valle d'Aosta,16,7581,412,328,45,11%,43,34,0&,2,1.59,0%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Veneto,2076,293795,79825,1627,2775,3%,2447,50,-4.1&,328,6.68,-2.4%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
Italia,17246,2336279,561380,932,25667,5%,23110,38,-1.8&,2557,4.24,-0.9%,Dati della Protezione Civile del 14 Gennaio 2021 ore 19:30
