Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,383,1476,46,189,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Basilicata,66,413,2,88,13,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Calabria,276,913,20,152,25,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Campania,1417,4449,99,620,36,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Emilia-Romagna,2112,6126,206,757,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Friuli Venezia Giulia,590,1277,60,175,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Lazio,2388,6421,284,943,193,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Liguria,612,1740,65,216,12,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Lombardia,3503,10650,362,1200,330,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Marche,529,1175,72,233,40,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Molise,58,221,9,36,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
P.A. Bolzano,223,561,32,100,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
P.A. Trento,178,604,35,90,15,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Piemonte,2122,5824,146,628,99,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Puglia,1397,3459,164,460,80,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Sardegna,446,1602,39,202,35,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Sicilia,1325,4161,204,829,196,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Toscana,648,5033,96,555,11,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Umbria,361,782,54,130,2,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Valle d'Aosta,32,227,3,20,12,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Veneto,1430,6000,217,1000,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
Italia,20096,63114,2215,8623,1099,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44
