Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,24,1324,0,185,23,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Basilicata,13,342,0,88,13,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Calabria,54,821,5,151,25,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Campania,188,3832,10,569,87,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Emilia-Romagna,162,6538,9,760,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Friuli Venezia Giulia,10,1277,2,175,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Lazio,254,6421,35,943,193,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Liguria,35,1670,6,214,12,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Lombardia,180,6369,29,1416,114,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Marche,12,951,4,209,57,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Molise,1,176,0,39,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
P.A. Bolzano,10,391,0,100,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
P.A. Trento,6,517,0,60,15,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Piemonte,67,5824,3,628,99,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Puglia,78,2799,10,462,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Sardegna,70,1602,9,216,33,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Sicilia,234,2918,30,644,196,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Toscana,109,5033,19,570,37,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Umbria,12,671,2,97,30,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Valle d'Aosta,1,67,0,23,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Veneto,91,6000,16,1000,0,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
Italia,1611,55543,189,8549,934,Dati della Protezione Civile del 27 Luglio 2021 ore 18:33
