Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,448,1426,43,187,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Basilicata,163,436,12,88,13,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Calabria,467,968,46,156,25,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Campania,1499,4304,140,620,36,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Emilia-Romagna,1873,6538,265,760,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Friuli Venezia Giulia,291,1277,37,175,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Lazio,2430,6421,331,943,193,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Liguria,529,1805,72,226,12,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Lombardia,4050,11761,611,1416,114,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Marche,480,1286,70,198,39,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Molise,41,221,13,39,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
P.A. Bolzano,60,460,7,100,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
P.A. Trento,78,557,25,90,15,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Piemonte,2443,5824,267,628,99,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Puglia,1749,3768,239,586,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Sardegna,378,1602,51,216,33,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Sicilia,1234,3858,179,835,196,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Toscana,1474,5033,255,626,16,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Umbria,188,807,34,117,2,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Valle d'Aosta,41,227,11,30,6,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Veneto,1055,6000,186,1000,0,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
Italia,20971,64579,2894,9036,799,Dati della Protezione Civile del 24 Aprile 2021 ore 20:07
