Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,478,1491,36,189,0,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Basilicata,94,436,4,88,13,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Calabria,249,910,21,152,25,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Campania,1385,4498,96,620,36,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Emilia-Romagna,2701,6126,240,757,0,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Friuli Venezia Giulia,661,1277,64,175,0,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Lazio,2882,6421,310,943,194,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Liguria,711,1719,62,217,12,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Lombardia,3363,11658,473,1232,298,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Marche,521,1172,69,216,40,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Molise,55,221,8,34,0,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
P.A. Bolzano,205,458,25,77,2,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
P.A. Trento,361,604,47,90,15,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Piemonte,2760,5824,184,628,99,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Puglia,1390,3429,154,458,80,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Sardegna,492,1653,48,180,27,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Sicilia,1228,4167,196,799,202,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Toscana,827,5033,146,559,3,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Umbria,277,765,44,130,2,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Valle d'Aosta,57,163,1,20,12,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Veneto,2594,6000,359,1000,0,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
Italia,23291,64025,2587,8564,1060,Dati della Protezione Civile del 07 Gennaio 2021 ore 19:10
